player_name,team,adj_offense,adj_defense,adj_overall,var,Offense Score,Defense Score,Overall Score,Offense Score,Defense Score,Overall Score,Disagreement Among Metrics,,,OL,OS,DL,DS,VL,VS,
Nikola Jokic,Denver Nuggets,8.5,1.6,10.1,0.12,121,71,124,118,75,121,6%,,1,8.470975883,-5.222913404,4.630273077,-2.730846585,10.06495921,-6.975858435,
Shai Gilgeous-Alexander,Oklahoma City Thunder,6.7,2.1,8.7,0.14,104,81,113,103,83,111,7%,,2,7.273121287,-4.367742851,3.520647896,-2.698751891,8.747976052,-5.342895695,How do the scores work?
Victor Wembanyama,San Antonio Spurs,4.0,4.6,8.6,0.29,78,128,112,82,124,111,15%,,3,7.097822389,-4.233017743,3.469102133,-2.68114276,8.626640648,-5.223962748,0-100*
Giannis Antetokounmpo,Milwaukee Bucks,7.1,1.1,8.2,0.06,108,62,109,107,67,108,3%,,4,6.654425416,-4.230752646,3.409834848,-2.416842268,8.197053061,-4.959131315,
Luka Doncic,Los Angeles Lakers,7.3,0.7,8.0,0.48,110,55,107,108,61,106,24%,,5,6.222197953,-4.116085763,2.97105785,-2.274719021,7.967618167,-4.910490733,
Kawhi Leonard,Los Angeles Clippers,6.2,0.8,7.0,0.11,100,56,99,100,63,99,6%,,6,6.215413341,-4.109887547,2.790164174,-2.198132899,7.006797979,-4.881524219,*Unless you're amazing (>100) or terrible (<0)
Donovan Mitchell,Cleveland Cavaliers,4.9,0.4,5.3,0.14,88,49,85,90,56,87,7%,,7,5.857258575,-4.040992765,2.765962877,-1.953813885,5.310225558,-4.862197838,
Chet Holmgren,Oklahoma City Thunder,1.8,3.5,5.2,0.20,57,106,85,64,105,87,10%,,8,5.167495803,-4.024263326,2.75615981,-1.892560216,5.224176942,-4.836619744,
Stephen Curry,Golden State Warriors,6.2,-1.2,5.0,0.24,100,20,83,100,24,85,12%,,9,4.94358182,-3.792261716,2.561409895,-1.889717306,5.039601237,-4.711717617,
Devin Booker,Phoenix Suns,5.2,-0.1,5.0,0.25,90,39,83,91,47,85,13%,,10,4.518457567,-3.679777416,2.560144682,-1.867342252,5.038285861,-4.660805753,
Jayson Tatum,Boston Celtics,3.7,1.4,5.0,0.18,75,67,83,80,72,85,9%,,,6.242075003,-4.181769518,3.143475724,-2.260386908,7.122333472,-5.13652041,
LaMelo Ball,Charlotte Hornets,5.9,-0.9,5.0,0.19,96,26,83,97,31,85,10%,,,,,,,,,
Derrick White,Boston Celtics,2.3,2.3,4.6,0.13,62,85,79,68,87,82,7%,,,,,,,,,
Neemias Queta,Boston Celtics,2.0,2.6,4.6,0.57,59,89,79,66,91,82,29%,,,,,,,,,
Lauri Markkanen,Utah Jazz,3.7,0.8,4.5,0.42,75,57,78,79,63,81,21%,,,,,,,,,
