window,fold,w,sd_g,linear,boosted,diff
2012-2014,0,128851.0,0.2501934621138016,3550.121117469276,3549.4212961296585,0.6998213396177562
2012-2014,1,128866.0,0.25816677608070215,3540.8129130859743,3540.61578465005,0.19712843592424178
2012-2014,2,128791.0,0.24976109938855845,3551.7198397499687,3551.50100346382,0.2188362861488713
2012-2014,3,128941.0,0.2516048934833894,3533.1476427372436,3532.755300186836,0.39234255040764765
2012-2014,4,129144.0,0.2538738923196015,3489.582971517493,3489.397420758772,0.18555075872109228
2024-2026,0,147535.0,0.22977546302089474,3980.9224496266065,3981.1710897280327,-0.24864010142619009
2024-2026,1,146898.0,0.23159481952607777,3968.063670650996,3967.5934031825063,0.47026746848951007
2024-2026,2,146637.0,0.22703784012010547,3991.5978227501237,3991.4102466776308,0.1875760724929023
2024-2026,3,146746.0,0.24936046026169936,4009.6458635058566,4008.9989450139274,0.6469184919292275
2024-2026,4,146346.0,0.23176165651053995,4019.0031180177625,4018.974500194152,0.0286178236106025
