side,feature,beta,se,beta_A,beta_B,z,expected,sign_ok
O,fg3m,1.0352482849981377,0.1698718591794262,1.2072940585577339,0.8632025114385417,6.094289483843598,+,ok
O,fg3_miss,-0.015313287502979198,0.10592706001336746,-0.06461554848102541,0.03398897347506701,-0.1445644531345129,-,ok
O,fg2m,0.6049340579804187,0.07210430793071401,0.5861958131703899,0.6236723027904474,8.389707568675478,+,ok
O,fg2_miss,-0.49671014368922195,0.0600707356706007,-0.4573761616690137,-0.5360441257094302,-8.268754130346327,-,ok
O,ftm,0.6261852822005951,0.06721769073517055,0.6915295806177635,0.5608409837834267,9.315780940283835,+,ok
O,ft_miss,-0.5209261893389768,0.1608769848900589,-0.7791494277524484,-0.26270295092550516,-3.2380404797800666,-,ok
O,orb,0.4218814604015527,0.09409953512137194,0.5588369037523759,0.28492601705072956,4.483353290294149,+,ok
O,drb,-0.015332412968461157,0.05750024320786816,-0.002633061395304194,-0.02803176454161812,-0.26664953247298817,,
O,ast,0.4540863541298973,0.052685099155905676,0.4435602996165476,0.46461240864324693,8.618876331354441,+,ok
O,tov,-0.7564563460278376,0.14901264791016852,-0.6352946715378601,-0.8776180205178151,-5.076457311756941,-,ok
O,stl,0.7649615676933774,0.18966348172701172,1.2746831776880503,0.25523995769870467,4.033257012514456,,
O,blk,-0.0097927998901235,0.13158190432136516,-0.11294007863486803,0.09335447885462103,-0.07442360665495726,,
O,pf,-0.2644415448391435,0.08471184551036033,-0.2258901098323673,-0.3029929798459198,-3.121659588998118,,
D,fg3m,-0.19282746511873952,0.1758684869242724,-0.3487958995353769,-0.03685903070210219,-1.0964298862807043,,
D,fg3_miss,-0.18187750790918544,0.10942278402443718,-0.09483121726891991,-0.268923798549451,-1.6621539063433726,,
D,fg2m,-0.028050722016987828,0.07493699150587947,0.09251114254640538,-0.14861258658038104,-0.37432410153251217,,
D,fg2_miss,-0.2286663560066089,0.06292509171214274,-0.2892293780493027,-0.16810333396391508,-3.6339455340433435,,
D,ftm,0.18432508470778292,0.07032924939422415,0.23383205078589198,0.13481811862967383,2.6208879846643263,,
D,ft_miss,-0.355757738597238,0.1686109057713869,-0.5775496858221346,-0.13396579137234138,-2.1099331444171017,,
D,orb,-0.22906811350884043,0.09782345391334386,-0.3096823808160622,-0.1484538462016187,-2.341648187067271,,
D,drb,0.3884576096920327,0.05911502372831183,0.3831705814420016,0.39374463794206377,6.571216337108388,+,ok
D,ast,0.11371218190268353,0.05428493518224736,0.028137541104663294,0.19928682270070378,2.094728151022468,,
D,tov,-0.48436377713063394,0.1558734397795651,-0.4113180915096159,-0.557409462751652,-3.10741700327918,,
D,stl,1.411576475942217,0.19822416389614778,1.5557320544217315,1.2674208974627026,7.121112018824104,+,ok
D,blk,0.8725582124437067,0.13618202525790588,0.8745075843324939,0.8706088405549195,6.407293552810865,+,ok
D,pf,-0.04943488871303378,0.0877155046188977,0.052584308989858934,-0.1514540864159265,-0.5635821047580609,,
