side,feature,beta,se,beta_binned,se_binned,diff_in_se
O,fg3m,1.0352482849981377,0.1698718591794262,1.0362774476493661,0.1699028963953601,0.006058464634459467
O,fg3_miss,-0.015313287502979198,0.10592706001336746,-0.01622714261658642,0.10595298019268591,-0.008627211153522985
O,fg2m,0.6049340579804187,0.07210430793071401,0.6118410408284634,0.07213577501554438,0.09579154209040752
O,fg2_miss,-0.49671014368922195,0.0600707356706007,-0.4935537017562255,0.06009192467128763,0.05254541829327498
O,ftm,0.6261852822005951,0.06721769073517055,0.6340065691424894,0.06724181388329897,0.1163575668302744
O,ft_miss,-0.5209261893389768,0.1608769848900589,-0.521369295636162,0.16089744797924077,-0.0027543175146398286
O,orb,0.4218814604015527,0.09409953512137194,0.42218848673367315,0.09412970266897702,0.0032627826665075446
O,drb,-0.015332412968461157,0.05750024320786816,-0.008164180710713675,0.05756179916977679,0.12466438153720022
O,ast,0.4540863541298973,0.052685099155905676,0.4651380978524608,0.05271401338112708,0.20976981916384377
O,tov,-0.7564563460278376,0.14901264791016852,-0.7752554635586599,0.14903970130054758,-0.1261578650837428
O,stl,0.7649615676933774,0.18966348172701172,0.7793545821427976,0.18970001587037952,0.07588711500159265
O,blk,-0.0097927998901235,0.13158190432136516,-0.009674800049469634,0.13160057705463438,0.0008967786358044578
O,pf,-0.2644415448391435,0.08471184551036033,-0.27970346261864354,0.0847693300404209,-0.1801627350644071
D,fg3m,-0.19282746511873952,0.1758684869242724,-0.21658475344154615,0.17589532724368334,-0.13508553316340485
D,fg3_miss,-0.18187750790918544,0.10942278402443718,-0.17481888384531852,0.10944986545931341,0.064507809107567
D,fg2m,-0.028050722016987828,0.07493699150587947,-0.03744421962893907,0.07497179576345694,-0.12535194465625482
D,fg2_miss,-0.2286663560066089,0.06292509171214274,-0.22787943977201697,0.06294540609568824,0.01250560330037748
D,ftm,0.18432508470778292,0.07032924939422415,0.18013280253916675,0.07035123679755151,-0.059609368857567575
D,ft_miss,-0.355757738597238,0.1686109057713869,-0.33941045694018857,0.1686380401580029,0.09695269462115409
D,orb,-0.22906811350884043,0.09782345391334386,-0.23206426827681104,0.0978520200499902,-0.030628184224866205
D,drb,0.3884576096920327,0.05911502372831183,0.3770683970251109,0.05917526725640973,-0.19266189791728303
D,ast,0.11371218190268353,0.05428493518224736,0.10612626924509455,0.0543136424690041,-0.13974250189525475
D,tov,-0.48436377713063394,0.1558734397795651,-0.47555647348776353,0.15590093744505457,0.05650291451401615
D,stl,1.411576475942217,0.19822416389614778,1.3973407416606698,0.19825634167985126,-0.07181634166965338
D,blk,0.8725582124437067,0.13618202525790588,0.8692235678500779,0.13620685874807953,-0.024486672064932935
D,pf,-0.04943488871303378,0.0877155046188977,-0.035451760223171175,0.08776743478528343,0.15941455904079743
