kind,side,bucket,slope,se,beta_noise_var,expected_slope
prior,O,"[0,500)",0.31940956087905253,0.09798598595278768,,
prior,O,"[500,1500)",0.8368938875052334,0.034858159839923804,,
prior,O,"[1500,inf)",1.002615251026297,0.03675466554817052,,
prior,D,"[0,500)",0.3562469745522041,0.12148871885006002,,
prior,D,"[500,1500)",0.7452892823505627,0.03989213035761765,,
prior,D,"[1500,inf)",1.0699341852672004,0.07273228372477303,,
prior,O,all,1.015992003615273,0.03655709848314465,0.4671618675955099,0.9790643994130086
prior,D,all,1.0195947982432172,0.0670342869578473,0.5022000212983431,0.9425050139976556
prior,O+D,all,1.0169601788976392,,0.9611378808107909,0.9672620637120183
eblup,O,"[0,500)",0.31298650478648987,0.08940927213372188,,
eblup,O,"[500,1500)",0.826481759719677,0.033449097043195423,,
eblup,O,"[1500,inf)",0.9662678823018059,0.028707705273151946,,
eblup,D,"[0,500)",0.47810605734456435,0.13299002066609625,,
eblup,D,"[500,1500)",0.8409073639153847,0.019945416970316484,,
eblup,D,"[1500,inf)",1.0448461687579265,0.04670809883552559,,
eblup,O,all,0.9845367475988414,0.02820899066989824,,
eblup,D,all,1.019828966564626,0.04195803409679135,,
eblup,O+D,all,0.9967139662873366,,,
joint_prior,O,"[0,500)",0.27580702247074484,0.09296238477503124,,
joint_prior,O,"[500,1500)",0.7857411442979794,0.03354961824818823,,
joint_prior,O,"[1500,inf)",0.9209404219164636,0.03395618321052148,,
joint_prior,D,"[0,500)",0.3973223423547389,0.14188578238437335,,
joint_prior,D,"[500,1500)",0.7387845256493579,0.03545719026799726,,
joint_prior,D,"[1500,inf)",0.929222383845426,0.06551419233212406,,
joint_u,O,"[0,500)",6.114597497519329,2.553403593825667,,
joint_u,O,"[500,1500)",0.5592007260721591,0.39167818934620163,,
joint_u,O,"[1500,inf)",1.300573129210956,0.06471010533344868,,
joint_u,D,"[0,500)",3.421592396805549,1.49875957308998,,
joint_u,D,"[500,1500)",1.392335841112328,0.20419479141982513,,
joint_u,D,"[1500,inf)",1.2280382891329302,0.10043893431368776,,
joint_prior,O,all,0.9452594976213314,0.03649907948832054,,
joint_prior,D,all,0.8890493507961233,0.059886989673560966,,
joint_u,O,all,1.3036247448288003,0.06598594197894744,,
joint_u,D,all,1.2763248966379321,0.10188712732294661,,
joint_prior,O+D,all,0.9311388602238251,,,
joint_u,O+D,all,1.2796960785728402,,,
