kind,side,bucket,slope,se,beta_noise_var,expected_slope,pad_target
prior,O,"[0,500)",0.31710469230177935,0.09896087866755236,,,league
prior,O,"[500,1500)",0.8327023153387161,0.034818917685030905,,,league
prior,O,"[1500,inf)",0.9993534583826237,0.03659725338337785,,,league
prior,D,"[0,500)",0.35522114820144024,0.12225673105948477,,,league
prior,D,"[500,1500)",0.7418751043213998,0.039081092170143085,,,league
prior,D,"[1500,inf)",1.063489324637633,0.07243780221608256,,,league
prior,O,all,1.0132227055974392,0.0364653734804558,0.47380865387262927,0.9787698591522491,league
prior,D,all,1.0129926086862762,0.06665779866111918,0.5102911816608254,0.9414306134095531,league
prior,O+D,all,1.0131609777051704,,0.9758452791997126,0.9667576434980771,league
eblup,O,"[0,500)",0.3225273885811188,0.09332143286275185,,,league
eblup,O,"[500,1500)",0.8421307504126121,0.03451434224689569,,,league
eblup,O,"[1500,inf)",0.9922962105547731,0.03163742081178932,,,league
eblup,D,"[0,500)",0.4970321600012849,0.12674980407258943,,,league
eblup,D,"[500,1500)",0.8751508488595463,0.021983380754185426,,,league
eblup,D,"[1500,inf)",1.1218361284619334,0.05663714180572793,,,league
eblup,O,all,1.010085971936255,0.03147568011600234,,,league
eblup,D,all,1.0902032883356645,0.05167549942620639,,,league
eblup,O+D,all,1.0349335393897365,,,,league
prior,O,"[0,500)",0.5309794009500585,0.15991757121305222,,,poss_conditional
prior,O,"[500,1500)",0.8689134489847176,0.0484933659747282,,,poss_conditional
prior,O,"[1500,inf)",1.0253623416015993,0.04385011076095642,,,poss_conditional
prior,D,"[0,500)",0.47190402309450197,0.14996285429378087,,,poss_conditional
prior,D,"[500,1500)",0.760334064291885,0.03737149343394166,,,poss_conditional
prior,D,"[1500,inf)",1.0490073472778167,0.06751755183535411,,,poss_conditional
prior,O,all,1.020694059951579,0.04034729207130566,0.467478873937199,0.9799321037128552,poss_conditional
prior,D,all,1.014476255932807,0.06321343493991191,0.5025623156050333,0.9447629500863844,poss_conditional
prior,O+D,all,1.0190591357723524,,0.9607953135599947,0.9679128537798427,poss_conditional
eblup,O,"[0,500)",0.5267677365271676,0.1582788359469575,,,poss_conditional
eblup,O,"[500,1500)",0.873241293825732,0.04535727151769538,,,poss_conditional
eblup,O,"[1500,inf)",1.0155497282026398,0.03759737039337991,,,poss_conditional
eblup,D,"[0,500)",0.619119453740718,0.15655719577079028,,,poss_conditional
eblup,D,"[500,1500)",0.8947000593304578,0.021841098155144137,,,poss_conditional
eblup,D,"[1500,inf)",1.1088591165706823,0.053796256255968955,,,poss_conditional
eblup,O,all,1.0162957006884323,0.03424221842962482,,,poss_conditional
eblup,D,all,1.0873060140113853,0.0498209756354083,,,poss_conditional
eblup,O+D,all,1.037854291327549,,,,poss_conditional
