lam_ratio,lam,mean_mse,diff_vs_best,diff_se,in_1se_band,reml_neg2ll
0.25,100.0,7264.597392801033,187.39732751319625,5.624590982499774,False,7676.480580901029
0.25,126.73439348306668,7249.800901198934,172.60083591109907,5.417776371791495,False,6781.61525388062
0.25,160.61606491520791,7234.700213923636,157.5001486357998,5.196773083211815,False,5940.447503585834
0.25,203.55579570665742,7219.471690460761,142.2716251729258,4.962601416795804,False,5156.090361930197
0.25,257.9752030884629,7204.311925618672,127.11186033083686,4.717000471052895,False,4431.082558071241
0.25,326.9433089708729,7189.428364952238,112.22829966440204,4.462167782180428,False,3767.252410883084
0.25,414.3496196577045,7175.027832030813,97.82776674297857,4.200485238332264,False,3165.6082668229938
0.25,525.1234773725855,7161.304680867135,84.10461557929939,3.934309127977513,False,2626.2675597942434
0.25,665.5120540853359,7148.430397367658,71.23033207982226,3.665878381476924,False,2148.4325473275967
0.25,843.4326653017499,7136.546037655164,59.3459723673288,3.3973539848280323,False,1730.414780467283
0.25,1068.9192728082367,7125.7580499319765,48.55798464414183,3.1309434803547176,False,1369.703865105752
0.25,1354.6883572171257,7116.137119893788,38.937054605952106,2.8690022957796857,False,1063.0711160274222
0.25,1716.8560731048442,7107.719094865917,30.519029578080517,2.6139806340748213,False,806.6968385810032
0.25,2175.8471312266224,7100.506999185651,23.306933897815362,2.368146241595095,False,596.3112021235283
0.25,2757.546664878766,7094.473571440081,17.273506152246227,2.1331558130869785,False,427.34137046011165
0.25,3494.760040746641,7089.56430797859,12.364242690752326,1.9096890685499157,False,295.05957570229657
0.25,4429.06294132883,7085.701337133563,8.501271845728843,1.6973840060419325,False,194.72696367581375
0.25,5613.146055676366,7082.788411512576,5.588346224740235,1.4951735442475342,False,121.72673827130347
0.25,7113.78660898013,7080.716962648903,3.5168973610674583,1.3019104296404416,False,71.67889785813168
0.25,9015.614312570586,7079.37271060068,2.1726453128447245,1.1170360459436888,False,40.52910450124182
0.25,11425.884117808895,7078.641961151708,1.441895863872014,0.9410861135729356,False,24.606533726211637
0.25,14480.524936783147,7078.4166171084535,1.216551820618588,0.7759894020596144,False,20.649673082400113
0.25,18351.805451796346,7078.597187976831,1.397122688996569,0.6253077121864892,False,25.804154498502612
0.25,23258.049332526516,7079.093687143757,1.893621855922356,0.49470929862745894,False,37.60144410468638
0.25,29475.94775756986,7079.825029032247,2.6249637444107066,0.3928110552586863,False,53.92973910551518
0.25,37356.16361394183,7080.718003238064,3.5179379502278607,0.3307847028706174,False,73.00722499052063
0.25,47343.107384671224,7081.706826052769,4.506760764934006,0.31527177690973995,False,93.36297981487587
