,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
AST,0.11088709293294383,0.05395195332921705,0.09501169583362713,0.20254202821023562,0.0867065881001834,0.11060958942718582,0.16834215266540692,0.12453382712522884,0.20274008133997545,0.1401866674644399
BLK,0.7288688403258818,0.9652652415170158,0.9412908672494694,0.9463878173803388,0.6715000172660717,0.8680068977386235,0.9070832345726089,1.0501640972303967,0.9953447480922135,1.2409715102580878
DRB,0.5573375368421571,0.5084919236945701,0.41183857900231646,0.44334906228975635,0.48695419085246583,0.3888247669485986,0.4229423116023199,0.37488591192425896,0.29485937474716745,0.3709031417865306
2P miss,-0.37387758192456855,-0.3475805978604132,-0.28175990713417304,-0.16059429727607322,-0.19385920800258563,-0.23202291287402765,-0.31069477449921057,-0.16363629689940606,-0.29466630195601523,-0.2023656796120805
2PM,0.24836974351172153,0.12758637112989413,-0.007958851264899959,-0.02354267451374709,0.07981034615260338,-0.024703652890458096,0.0844180235788006,-0.10052953968714615,0.1759610051278946,0.01614547828489958
3P miss,-0.0682182751822545,-0.030478824939243254,-0.3795591778414409,-0.17062781090758633,-0.29669087750448264,-0.18538028337652482,-0.2669471808540095,-0.25882128766752677,-0.11400761854573677,-0.162354063054666
3PM,-0.3786968365888047,-0.28973158371695057,0.3518322954334736,0.09399125316039894,0.259208981930134,-0.18080909101553636,0.26363116900558103,0.14505699307989933,0.11320549893341893,0.3250566054478822
FT miss,-0.003252491260159182,-0.19077451775637047,-0.09386337188468015,0.007690647788781511,0.29370842759701565,-0.3682426374862735,-0.31327116698940843,0.31969763318363686,-0.34911771266040414,0.1695046656818678
FTM,0.08364726563132173,0.21650442678911386,0.12670905334000687,0.020378460981196278,-0.009234277061014293,0.19273075583567306,0.08679590380910393,0.13568894792105132,0.13176987779201202,0.20428334231290415
ORB,-0.28553193986402303,-0.12366406384199785,-0.008986150853742436,-0.0610340454988956,-0.18191936228903116,-0.22317375645193652,-0.018286252896012545,-0.13409515951173,-0.03247493994526415,0.23735427597585831
PF,0.2411566427491124,0.05582687700596161,0.1026226926930291,0.0951016993582359,-0.02928136196417054,-0.08582289230927961,0.06550353550098978,-0.1286126427625235,-0.04872175341239935,0.012282641078247926
STL,1.4034884606426459,1.5201322638405177,1.2935212196118244,1.0906597784367613,1.3932950577664818,1.4354055333410323,1.696057448751318,1.4271167135892076,1.2737029096801968,1.9198229933845203
TOV,-0.6560313364436281,-0.4570890376688944,-0.3541166564748356,-0.5206991234208178,-0.522307436150257,-0.4644575145222774,-0.49029072993646444,-0.4340360925737376,-0.39554937163019344,-0.8149658400927804
