,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
AST,0.4659998830244788,0.3615784751309944,0.5131766435391283,0.36244286192374353,0.4634930477289334,0.4170977113902513,0.34798874362184007,0.3473613796441297,0.3578048920430583,0.372049453491732
BLK,0.09485528640530158,-0.12886839336100242,0.015852429461323182,-0.10153917955228654,-0.06840431543105523,-0.019629714667498785,-0.16372197109380004,-0.016709714069213275,-0.029601157380646496,-0.34243371645603865
DRB,0.09856849979557077,0.05351476331653986,0.03232260069166086,0.07421540882467409,0.05170841646631585,-0.020672984791226583,-0.029762761125065748,-0.044823191431616116,0.028046322598350652,0.0795134983766789
2P miss,-0.5275827659476495,-0.4151350944767835,-0.4394229327209464,-0.494640594181601,-0.45710150034685565,-0.4969223805178926,-0.5220851286375312,-0.4005132224196821,-0.48507774951056604,-0.6911145120784519
2PM,0.6979701737939865,0.7650343861954568,0.687571851623962,0.7327921864713781,0.5743335989046103,0.5713980773291026,0.6899227966077677,0.49808402686863906,0.543895998634448,0.7083182264984514
3P miss,0.2590578485591373,-0.06305653356917852,0.14165820437768398,0.009813365615540706,0.11540986514345847,0.02331835922990859,-0.12447231934275316,0.1355757824399703,-0.25011973152837896,-0.1354896577585745
3PM,0.47857527813340606,1.2730280540620305,0.9516863072582581,1.0642508710941643,0.949585889604715,0.9490521794279956,1.217237653590241,0.7276818053944445,1.1230127112822912,0.9986164369566826
FT miss,-0.16387234692719677,-0.23334005532254706,-0.2814209747760679,-0.4509963687833528,-0.24058796913788175,-0.5202571156269638,-0.30638920319043744,-0.4562226490981014,-0.8034653057450625,-0.5253974018959927
FTM,0.5733358942555029,0.6228191260258888,0.6601568662267,0.6736907113500874,0.5762629939612751,0.6253498746362656,0.5904778955859129,0.5868759972049045,0.6997776804177114,0.6552712143113135
ORB,0.3186142470272048,0.38772884381271533,0.514384259008227,0.49225719686947944,0.5764443204060397,0.41338054369104515,0.4771031101899776,0.6226783817370299,0.7194429373100137,0.5758622761375992
PF,-0.2961992574532624,-0.35573299299279804,-0.3144107831584708,-0.24148251754393218,-0.2743010911623006,-0.29726226932509126,-0.4094978653244137,-0.3693043745541181,-0.23940324301046045,-0.16206126369369006
STL,0.3252164302835521,0.522285851045607,0.2889950341773067,0.8019585748490694,0.4791669081485757,0.7836122396702513,0.7887081604552675,0.09546365000443854,0.5242675260540796,0.5277303068595162
TOV,-0.7560450010717105,-1.0119985843944743,-0.8251622570512278,-0.49647516574056694,-0.6286441256528197,-0.6742772138483235,-0.5918136095480011,-0.5181100701581031,-0.6002999251977595,-0.8251807468643211
