,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
AST,0.05700852575942321,0.054824170183839276,0.057631203459546775,0.054433515476900285,0.055819428710587926,0.054242544951885435,0.05528032135987088,0.05626870730030193,0.054301636126004305,0.05154205303871274
BLK,0.11526827861571202,0.1165594071619441,0.11668756320650553,0.1206892523038941,0.13753814792099328,0.13587129505095488,0.14255109929575455,0.1566800144253158,0.16309136145846237,0.15074603187183913
DRB,0.06562414252298697,0.06369306625471079,0.0647370150853703,0.060982790056804244,0.05848911730378847,0.05902820948691073,0.056430941578846885,0.054511006109641644,0.055227714988629356,0.05701710024220334
2P miss,0.06697806053901806,0.06593679914077881,0.06674677132535084,0.06597293782147515,0.06780439759058401,0.06275276613856676,0.06749158187203248,0.07197509959315165,0.07309707453907159,0.08163052302108476
2PM,0.07795115824131536,0.07593635484998658,0.07905023592055763,0.0751320045426734,0.07669563226355332,0.07448333060327549,0.07689858798741252,0.07515713908155335,0.07246882324350827,0.07407473757394066
3P miss,0.13025621219580114,0.1318627963935071,0.1371254359513874,0.12402930901205678,0.12082333882898874,0.10840199170862809,0.10187166352655741,0.0940534567227365,0.0838449308509429,0.08545423864661505
3PM,0.21873469358989134,0.2221527514539596,0.22949565954595688,0.2025772193984574,0.1968487711817122,0.1732171726238671,0.16775086667795525,0.1531353276994922,0.13003099609462968,0.13271123697267972
FT miss,0.16419771071556666,0.16724389245300725,0.15932184449232265,0.15246957152978563,0.16863746639624574,0.16704827128513985,0.15749840670886397,0.19450641175155145,0.19601912643021738,0.22401404916739565
FTM,0.07406204018962818,0.07523814348325551,0.06662853355821251,0.06584368062917494,0.06663316498843733,0.06968709861191935,0.06686496292033628,0.07193112610327032,0.06905370493760259,0.0743428898048028
ORB,0.10248827470632003,0.10286583629638844,0.10325796740128207,0.10511223155423952,0.10550030351910249,0.09728102237588189,0.10188822067436035,0.11039121729360486,0.10237609313715937,0.09247540917381893
PF,0.075281032404173,0.07072528091771148,0.07576604594392666,0.07492821270596753,0.07481405217282604,0.08312488805150611,0.08942057407068045,0.09856255750349247,0.10144023244173664,0.1052516023701568
STL,0.17883484185217058,0.1934274765064846,0.19090632629079268,0.2068233875888246,0.2056720213986104,0.19585886176432757,0.19234042707649696,0.20416296025009945,0.2347110613401595,0.20936301839208632
TOV,0.15512972545179596,0.1490356433330532,0.14714020362821836,0.15573841143344944,0.1535828379914091,0.15064119678648533,0.14288987265558875,0.15170967042015562,0.14189527064696397,0.14362156465617912
