,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
AST,0.05382266327580032,0.05167481213707394,0.05457545930742539,0.05138342627556049,0.05293502069486125,0.05160704893728548,0.05226785554207496,0.053459661102461156,0.05177777013214791,0.049056982869997726
BLK,0.10896339418640928,0.1100474533755316,0.11036160049595256,0.11398529446499882,0.1302539169040578,0.12841867256812206,0.13374226550085802,0.14803197136556154,0.15413426315804293,0.14267794888665883
DRB,0.06251084851943028,0.06079369515099897,0.06169413354630757,0.05789991503837497,0.05567014023746833,0.0563810024307724,0.053814634978054485,0.05204377813871515,0.05280650026785918,0.05460444201904989
2P miss,0.06289369621011817,0.0615320991563397,0.06264694849315645,0.061172074520603054,0.06310424867580267,0.05817059735832921,0.06272420520871952,0.06703933259368629,0.06826596531068871,0.07623778020712976
2PM,0.0736128785803508,0.07121940670920662,0.0744574008005515,0.07045419086007942,0.07218413792074022,0.06997002227367695,0.0722486221948363,0.07105981397266838,0.06842742781351359,0.07004351230736483
3P miss,0.12242864475240443,0.12441090344690532,0.1289912854453249,0.11692592825536696,0.11358556436185913,0.10280238995733634,0.09594701864246284,0.08876873904595887,0.07967277550221735,0.08091536458179285
3PM,0.205628857305613,0.209591255622804,0.21541793181165486,0.19079912489859413,0.18492373199878498,0.1635911784029121,0.1580508333779007,0.14480923743080862,0.123220710043338,0.12588692220330827
FT miss,0.15403671341721226,0.15517320809988971,0.1475760990248337,0.1422566940933429,0.15736922049432808,0.1546338275346816,0.1460013505807923,0.18047784654875226,0.1829763176408762,0.20972264301024204
FTM,0.06920149425623574,0.07037859383147067,0.06214993413055057,0.06143018463744332,0.06218602134503057,0.06470426732878001,0.06247968121272336,0.06700938555156974,0.06495922107546494,0.07004649100183692
ORB,0.09645724334805628,0.09662457704427467,0.0971215677020779,0.09854201969741544,0.09931920339488506,0.09133121621279577,0.09544758996312551,0.10400912644826583,0.09639555721645901,0.08650686665920912
PF,0.07081228437671767,0.06625152668065912,0.07166493750691635,0.07082451667617692,0.07076375941250752,0.0784899661825055,0.08407327524777244,0.09313201395505533,0.09603520796368757,0.09936224281412726
STL,0.16605939891613822,0.17930326363067503,0.17714556570447837,0.19290286332997778,0.19057332284758838,0.1822707146107552,0.17929897371138828,0.19061926376236285,0.22071146005207223,0.19594775061551686
TOV,0.14437919028827506,0.13774857911924474,0.13553555882438645,0.14482337774494977,0.14212560113524214,0.1408549942584834,0.1316535282123975,0.14130913720216814,0.1326813182958454,0.13363606054474572
