window,window_mid,side,feature,label,beta,se,lo95,hi95,sign_convention
1997-1999,1998.0,D,ast,AST (defense),0.11088709293294383,0.05700852575942321,-0.0008496175555256641,0.2226238034214133,D flipped: positive = good on both sides
2000-2002,2001.0,D,ast,AST (defense),0.05395195332921705,0.054824170183839276,-0.05350342023110792,0.161407326889542,D flipped: positive = good on both sides
2003-2005,2004.0,D,ast,AST (defense),0.09501169583362713,0.057631203459546775,-0.017945462947084545,0.2079688546143388,D flipped: positive = good on both sides
2006-2008,2007.0,D,ast,AST (defense),0.20254202821023562,0.054433515476900285,0.09585233787551106,0.3092317185449602,D flipped: positive = good on both sides
2009-2011,2010.0,D,ast,AST (defense),0.0867065881001834,0.055819428710587926,-0.022699492172568933,0.19611266837293573,D flipped: positive = good on both sides
2012-2014,2013.0,D,ast,AST (defense),0.11060958942718582,0.054242544951885435,0.0042942013214903735,0.21692497753288126,D flipped: positive = good on both sides
2015-2017,2016.0,D,ast,AST (defense),0.16834215266540692,0.05528032135987088,0.05999272280005999,0.2766915825307539,D flipped: positive = good on both sides
2018-2020,2019.0,D,ast,AST (defense),0.12453382712522884,0.05626870730030193,0.014247160816637058,0.2348204934338206,D flipped: positive = good on both sides
2021-2023,2022.0,D,ast,AST (defense),0.20274008133997545,0.054301636126004305,0.09630887453300702,0.3091712881469439,D flipped: positive = good on both sides
2024-2026,2025.0,D,ast,AST (defense),0.1401866674644399,0.05154205303871274,0.03916424350856293,0.24120909142031685,D flipped: positive = good on both sides
1997-1999,1998.0,D,blk,BLK (defense),0.7288688403258818,0.11526827861571202,0.5029430142390863,0.9547946664126774,D flipped: positive = good on both sides
2000-2002,2001.0,D,blk,BLK (defense),0.9652652415170158,0.1165594071619441,0.7368088034796053,1.193721679554426,D flipped: positive = good on both sides
2003-2005,2004.0,D,blk,BLK (defense),0.9412908672494694,0.11668756320650553,0.7125832433647186,1.1699984911342203,D flipped: positive = good on both sides
2006-2008,2007.0,D,blk,BLK (defense),0.9463878173803388,0.1206892523038941,0.7098368828647064,1.1829387518959713,D flipped: positive = good on both sides
2009-2011,2010.0,D,blk,BLK (defense),0.6715000172660717,0.13753814792099328,0.40192524734092483,0.9410747871912185,D flipped: positive = good on both sides
2012-2014,2013.0,D,blk,BLK (defense),0.8680068977386235,0.13587129505095488,0.601699159438752,1.134314636038495,D flipped: positive = good on both sides
2015-2017,2016.0,D,blk,BLK (defense),0.9070832345726089,0.14255109929575455,0.6276830799529299,1.1864833891922877,D flipped: positive = good on both sides
2018-2020,2019.0,D,blk,BLK (defense),1.0501640972303967,0.1566800144253158,0.7430712689567778,1.3572569255040157,D flipped: positive = good on both sides
2021-2023,2022.0,D,blk,BLK (defense),0.9953447480922135,0.16309136145846237,0.6756856796336272,1.3150038165507998,D flipped: positive = good on both sides
2024-2026,2025.0,D,blk,BLK (defense),1.2409715102580878,0.15074603187183913,0.9455092877892831,1.5364337327268927,D flipped: positive = good on both sides
1997-1999,1998.0,D,drb,DRB (defense),0.5573375368421571,0.06562414252298697,0.4287142174971027,0.6859608561872116,D flipped: positive = good on both sides
2000-2002,2001.0,D,drb,DRB (defense),0.5084919236945701,0.06369306625471079,0.38365351383533697,0.6333303335538032,D flipped: positive = good on both sides
2003-2005,2004.0,D,drb,DRB (defense),0.41183857900231646,0.0647370150853703,0.2849540294349907,0.5387231285696422,D flipped: positive = good on both sides
2006-2008,2007.0,D,drb,DRB (defense),0.44334906228975635,0.060982790056804244,0.32382279377842005,0.5628753308010926,D flipped: positive = good on both sides
2009-2011,2010.0,D,drb,DRB (defense),0.48695419085246583,0.05848911730378847,0.37231552093704046,0.6015928607678912,D flipped: positive = good on both sides
2012-2014,2013.0,D,drb,DRB (defense),0.3888247669485986,0.05902820948691073,0.27312947635425355,0.5045200575429436,D flipped: positive = good on both sides
2015-2017,2016.0,D,drb,DRB (defense),0.4229423116023199,0.056430941578846885,0.31233766610777997,0.5335469570968597,D flipped: positive = good on both sides
2018-2020,2019.0,D,drb,DRB (defense),0.37488591192425896,0.054511006109641644,0.26804433994936133,0.4817274838991566,D flipped: positive = good on both sides
2021-2023,2022.0,D,drb,DRB (defense),0.29485937474716745,0.055227714988629356,0.1866130533694539,0.403105696124881,D flipped: positive = good on both sides
2024-2026,2025.0,D,drb,DRB (defense),0.3709031417865306,0.05701710024220334,0.25914962531181207,0.48265665826124915,D flipped: positive = good on both sides
1997-1999,1998.0,D,fg2_miss,2P miss (defense),-0.37387758192456855,0.06697806053901806,-0.5051545805810439,-0.24260058326809317,D flipped: positive = good on both sides
2000-2002,2001.0,D,fg2_miss,2P miss (defense),-0.3475805978604132,0.06593679914077881,-0.47681672417633963,-0.21834447154448672,D flipped: positive = good on both sides
2003-2005,2004.0,D,fg2_miss,2P miss (defense),-0.28175990713417304,0.06674677132535084,-0.4125835789318607,-0.1509362353364854,D flipped: positive = good on both sides
2006-2008,2007.0,D,fg2_miss,2P miss (defense),-0.16059429727607322,0.06597293782147515,-0.2899012554061645,-0.03128733914598192,D flipped: positive = good on both sides
2009-2011,2010.0,D,fg2_miss,2P miss (defense),-0.19385920800258563,0.06780439759058401,-0.3267558272801303,-0.060962588725040956,D flipped: positive = good on both sides
2012-2014,2013.0,D,fg2_miss,2P miss (defense),-0.23202291287402765,0.06275276613856676,-0.3550183345056185,-0.10902749124243681,D flipped: positive = good on both sides
2015-2017,2016.0,D,fg2_miss,2P miss (defense),-0.31069477449921057,0.06749158187203248,-0.44297827496839426,-0.1784112740300269,D flipped: positive = good on both sides
2018-2020,2019.0,D,fg2_miss,2P miss (defense),-0.16363629689940606,0.07197509959315165,-0.30470749210198333,-0.02256510169682882,D flipped: positive = good on both sides
2021-2023,2022.0,D,fg2_miss,2P miss (defense),-0.29466630195601523,0.07309707453907159,-0.4379365680525955,-0.15139603585943492,D flipped: positive = good on both sides
2024-2026,2025.0,D,fg2_miss,2P miss (defense),-0.2023656796120805,0.08163052302108476,-0.3623615047334066,-0.042369854490754366,D flipped: positive = good on both sides
1997-1999,1998.0,D,fg2m,2PM (defense),0.24836974351172153,0.07795115824131536,0.09558547335874343,0.4011540136646996,D flipped: positive = good on both sides
2000-2002,2001.0,D,fg2m,2PM (defense),0.12758637112989413,0.07593635484998658,-0.021248884376079552,0.2764216266358678,D flipped: positive = good on both sides
2003-2005,2004.0,D,fg2m,2PM (defense),-0.007958851264899959,0.07905023592055763,-0.16289731366919288,0.14697961113939298,D flipped: positive = good on both sides
2006-2008,2007.0,D,fg2m,2PM (defense),-0.02354267451374709,0.0751320045426734,-0.17080140341738695,0.12371605438989278,D flipped: positive = good on both sides
2009-2011,2010.0,D,fg2m,2PM (defense),0.07981034615260338,0.07669563226355332,-0.07051309308396111,0.23013378538916787,D flipped: positive = good on both sides
2012-2014,2013.0,D,fg2m,2PM (defense),-0.024703652890458096,0.07448333060327549,-0.17069098087287804,0.12128367509196186,D flipped: positive = good on both sides
2015-2017,2016.0,D,fg2m,2PM (defense),0.0844180235788006,0.07689858798741252,-0.06630320887652794,0.23513925603412913,D flipped: positive = good on both sides
2018-2020,2019.0,D,fg2m,2PM (defense),-0.10052953968714615,0.07515713908155335,-0.2478375322869907,0.046778452912698415,D flipped: positive = good on both sides
2021-2023,2022.0,D,fg2m,2PM (defense),0.1759610051278946,0.07246882324350827,0.03392211157061839,0.31799989868517076,D flipped: positive = good on both sides
2024-2026,2025.0,D,fg2m,2PM (defense),0.01614547828489958,0.07407473757394066,-0.1290410073600241,0.1613319639298233,D flipped: positive = good on both sides
1997-1999,1998.0,D,fg3_miss,3P miss (defense),-0.0682182751822545,0.13025621219580114,-0.32352045108602473,0.18708390072151576,D flipped: positive = good on both sides
2000-2002,2001.0,D,fg3_miss,3P miss (defense),-0.030478824939243254,0.1318627963935071,-0.28892990587051715,0.22797225599203064,D flipped: positive = good on both sides
2003-2005,2004.0,D,fg3_miss,3P miss (defense),-0.3795591778414409,0.1371254359513874,-0.6483250323061602,-0.1107933233767216,D flipped: positive = good on both sides
2006-2008,2007.0,D,fg3_miss,3P miss (defense),-0.17062781090758633,0.12402930901205678,-0.4137252565712176,0.07246963475604495,D flipped: positive = good on both sides
2009-2011,2010.0,D,fg3_miss,3P miss (defense),-0.29669087750448264,0.12082333882898874,-0.5335046216093006,-0.05987713339966472,D flipped: positive = good on both sides
2012-2014,2013.0,D,fg3_miss,3P miss (defense),-0.18538028337652482,0.10840199170862809,-0.3978481871254359,0.02708762037238624,D flipped: positive = good on both sides
2015-2017,2016.0,D,fg3_miss,3P miss (defense),-0.2669471808540095,0.10187166352655741,-0.46661564136606204,-0.06727872034195695,D flipped: positive = good on both sides
2018-2020,2019.0,D,fg3_miss,3P miss (defense),-0.25882128766752677,0.0940534567227365,-0.4431660628440903,-0.07447651249096324,D flipped: positive = good on both sides
2021-2023,2022.0,D,fg3_miss,3P miss (defense),-0.11400761854573677,0.0838449308509429,-0.2783436830135848,0.0503284459221113,D flipped: positive = good on both sides
2024-2026,2025.0,D,fg3_miss,3P miss (defense),-0.162354063054666,0.08545423864661505,-0.3298443708020315,0.005136244692699521,D flipped: positive = good on both sides
1997-1999,1998.0,D,fg3m,3PM (defense),-0.3786968365888047,0.21873469358989134,-0.8074168360249917,0.050023162847382285,D flipped: positive = good on both sides
2000-2002,2001.0,D,fg3m,3PM (defense),-0.28973158371695057,0.2221527514539596,-0.7251509765667115,0.14568780913281026,D flipped: positive = good on both sides
2003-2005,2004.0,D,fg3m,3PM (defense),0.3518322954334736,0.22949565954595688,-0.09797919727660187,0.8016437881435491,D flipped: positive = good on both sides
2006-2008,2007.0,D,fg3m,3PM (defense),0.09399125316039894,0.2025772193984574,-0.30306009686057755,0.4910426031813755,D flipped: positive = good on both sides
2009-2011,2010.0,D,fg3m,3PM (defense),0.259208981930134,0.1968487711817122,-0.12661460958602194,0.6450325734462898,D flipped: positive = good on both sides
2012-2014,2013.0,D,fg3m,3PM (defense),-0.18080909101553636,0.1732171726238671,-0.5203147493583159,0.15869656732724316,D flipped: positive = good on both sides
2015-2017,2016.0,D,fg3m,3PM (defense),0.26363116900558103,0.16775086667795525,-0.06516052968321123,0.5924228676943732,D flipped: positive = good on both sides
2018-2020,2019.0,D,fg3m,3PM (defense),0.14505699307989933,0.1531353276994922,-0.15508824921110537,0.44520223537090403,D flipped: positive = good on both sides
2021-2023,2022.0,D,fg3m,3PM (defense),0.11320549893341893,0.13003099609462968,-0.14165525341205526,0.3680662512788931,D flipped: positive = good on both sides
2024-2026,2025.0,D,fg3m,3PM (defense),0.3250566054478822,0.13271123697267972,0.06494258098142991,0.5851706299143344,D flipped: positive = good on both sides
1997-1999,1998.0,D,ft_miss,FT miss (defense),-0.003252491260159182,0.16419771071556666,-0.32508000426266986,0.31857502174235147,D flipped: positive = good on both sides
2000-2002,2001.0,D,ft_miss,FT miss (defense),-0.19077451775637047,0.16724389245300725,-0.5185725469642647,0.13702351145152372,D flipped: positive = good on both sides
2003-2005,2004.0,D,ft_miss,FT miss (defense),-0.09386337188468015,0.15932184449232265,-0.4061341870896325,0.21840744332027223,D flipped: positive = good on both sides
2006-2008,2007.0,D,ft_miss,FT miss (defense),0.007690647788781511,0.15246957152978563,-0.2911497124095983,0.3065310079871614,D flipped: positive = good on both sides
2009-2011,2010.0,D,ft_miss,FT miss (defense),0.29370842759701565,0.16863746639624574,-0.036821006539626,0.6242378617336573,D flipped: positive = good on both sides
2012-2014,2013.0,D,ft_miss,FT miss (defense),-0.3682426374862735,0.16704827128513985,-0.6956572492051476,-0.04082802576739941,D flipped: positive = good on both sides
2015-2017,2016.0,D,ft_miss,FT miss (defense),-0.31327116698940843,0.15749840670886397,-0.6219680441387818,-0.004574289840035051,D flipped: positive = good on both sides
2018-2020,2019.0,D,ft_miss,FT miss (defense),0.31969763318363686,0.19450641175155145,-0.06153493384940395,0.7009302002166777,D flipped: positive = good on both sides
2021-2023,2022.0,D,ft_miss,FT miss (defense),-0.34911771266040414,0.19601912643021738,-0.7333152004636302,0.0350797751428219,D flipped: positive = good on both sides
2024-2026,2025.0,D,ft_miss,FT miss (defense),0.1695046656818678,0.22401404916739565,-0.26956287068622764,0.6085722020499633,D flipped: positive = good on both sides
1997-1999,1998.0,D,ftm,FTM (defense),0.08364726563132173,0.07406204018962818,-0.0615143331403495,0.22880886440299297,D flipped: positive = good on both sides
2000-2002,2001.0,D,ftm,FTM (defense),0.21650442678911386,0.07523814348325551,0.06903766556193305,0.3639711880162947,D flipped: positive = good on both sides
2003-2005,2004.0,D,ftm,FTM (defense),0.12670905334000687,0.06662853355821251,-0.003882872434089635,0.2573009791141034,D flipped: positive = good on both sides
2006-2008,2007.0,D,ftm,FTM (defense),0.020378460981196278,0.06584368062917494,-0.1086751530519866,0.14943207501437916,D flipped: positive = good on both sides
2009-2011,2010.0,D,ftm,FTM (defense),-0.009234277061014293,0.06663316498843733,-0.13983528043835144,0.12136672631632286,D flipped: positive = good on both sides
2012-2014,2013.0,D,ftm,FTM (defense),0.19273075583567306,0.06968709861191935,0.05614404255631114,0.329317469115035,D flipped: positive = good on both sides
2015-2017,2016.0,D,ftm,FTM (defense),0.08679590380910393,0.06686496292033628,-0.044259423514755175,0.21785123113296304,D flipped: positive = good on both sides
