side,feature,coef,se,run,window,window_mid,first_season,last_season,lam,side_name,stat,sign_convention
O,fg3m,0.5828382104942318,0.28188337180849926,base,1997-1999,1998.0,1997,1999,10149.5,offense,3PM,positive = good on both sides; total = offense + defense
O,fg3_miss,0.23263301085334848,0.16597847716539682,base,1997-1999,1998.0,1997,1999,10149.5,offense,3P miss,positive = good on both sides; total = offense + defense
O,fg2m,0.7481041359709335,0.09426379590837483,base,1997-1999,1998.0,1997,1999,10149.5,offense,2PM,positive = good on both sides; total = offense + defense
O,fg2_miss,-0.5273721108501529,0.08225426216208273,base,1997-1999,1998.0,1997,1999,10149.5,offense,2P miss,positive = good on both sides; total = offense + defense
O,ftm,0.5545031539594344,0.078307001198579,base,1997-1999,1998.0,1997,1999,10149.5,offense,FTM,positive = good on both sides; total = offense + defense
O,ft_miss,-0.07086101667266229,0.17104597154876988,base,1997-1999,1998.0,1997,1999,10149.5,offense,FT miss,positive = good on both sides; total = offense + defense
O,orb,0.22768245431356943,0.11561677490881123,base,1997-1999,1998.0,1997,1999,10149.5,offense,ORB,positive = good on both sides; total = offense + defense
O,drb,0.16350199804468127,0.07058827913666023,base,1997-1999,1998.0,1997,1999,10149.5,offense,DRB,positive = good on both sides; total = offense + defense
O,ast,0.49283279903404276,0.062411672992402016,base,1997-1999,1998.0,1997,1999,10149.5,offense,AST,positive = good on both sides; total = offense + defense
O,tov,-0.8465402951412008,0.16662945760134268,base,1997-1999,1998.0,1997,1999,10149.5,offense,TOV,positive = good on both sides; total = offense + defense
O,stl,0.5355659552922767,0.17928347065014116,base,1997-1999,1998.0,1997,1999,10149.5,offense,STL,positive = good on both sides; total = offense + defense
O,blk,-0.02556392859279099,0.11499005919660807,base,1997-1999,1998.0,1997,1999,10149.5,offense,BLK,positive = good on both sides; total = offense + defense
O,pf,-0.25604487874963155,0.08239731193335317,base,1997-1999,1998.0,1997,1999,10149.5,offense,PF,positive = good on both sides; total = offense + defense
D,fg3m,-0.531343957647202,0.3096278701690113,base,1997-1999,1998.0,1997,1999,10149.5,defense,3PM,positive = good on both sides; total = offense + defense
D,fg3_miss,-0.00048408757429582033,0.18265429606249622,base,1997-1999,1998.0,1997,1999,10149.5,defense,3P miss,positive = good on both sides; total = offense + defense
D,fg2m,0.46428700657927857,0.10403685407493296,base,1997-1999,1998.0,1997,1999,10149.5,defense,2PM,positive = good on both sides; total = offense + defense
D,fg2_miss,-0.5373015946733494,0.09161337169189843,base,1997-1999,1998.0,1997,1999,10149.5,defense,2P miss,positive = good on both sides; total = offense + defense
D,ftm,0.16264246405889998,0.08854593935387953,base,1997-1999,1998.0,1997,1999,10149.5,defense,FTM,positive = good on both sides; total = offense + defense
D,ft_miss,-0.16381401751290223,0.19087814200018796,base,1997-1999,1998.0,1997,1999,10149.5,defense,FT miss,positive = good on both sides; total = offense + defense
D,orb,-0.395882240770887,0.12830862501365806,base,1997-1999,1998.0,1997,1999,10149.5,defense,ORB,positive = good on both sides; total = offense + defense
D,drb,0.5420836012756711,0.07771680952281215,base,1997-1999,1998.0,1997,1999,10149.5,defense,DRB,positive = good on both sides; total = offense + defense
D,ast,0.10129535743456665,0.06913839465190537,base,1997-1999,1998.0,1997,1999,10149.5,defense,AST,positive = good on both sides; total = offense + defense
