window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
1997-1999,1998.0,AST,ast,defense,0.1013,0.0691,-0.0342,0.2368
2000-2002,2001.0,AST,ast,defense,0.1074,0.0644,-0.0188,0.2337
2003-2005,2004.0,AST,ast,defense,0.1736,0.0675,0.0413,0.306
2006-2008,2007.0,AST,ast,defense,0.1426,0.064,0.0171,0.2681
2009-2011,2010.0,AST,ast,defense,0.1156,0.0664,-0.0145,0.2456
2012-2014,2013.0,AST,ast,defense,0.105,0.0652,-0.0228,0.2328
2015-2017,2016.0,AST,ast,defense,0.2025,0.0664,0.0724,0.3326
2018-2020,2019.0,AST,ast,defense,0.2397,0.0685,0.1055,0.3738
2021-2023,2022.0,AST,ast,defense,0.2472,0.0669,0.116,0.3784
2024-2026,2025.0,AST,ast,defense,0.1753,0.0602,0.0574,0.2932
1997-1999,1998.0,BLK,blk,defense,0.7738,0.1276,0.5238,1.0239
2000-2002,2001.0,BLK,blk,defense,1.004,0.1306,0.748,1.2599
2003-2005,2004.0,BLK,blk,defense,1.013,0.1306,0.757,1.2689
2006-2008,2007.0,BLK,blk,defense,0.8255,0.136,0.5589,1.0921
2009-2011,2010.0,BLK,blk,defense,0.7261,0.155,0.4224,1.0299
2012-2014,2013.0,BLK,blk,defense,0.8348,0.1535,0.5339,1.1357
2015-2017,2016.0,BLK,blk,defense,1.0121,0.1663,0.6861,1.338
2018-2020,2019.0,BLK,blk,defense,0.9682,0.1743,0.6265,1.3099
2021-2023,2022.0,BLK,blk,defense,1.1675,0.1854,0.8041,1.5309
2024-2026,2025.0,BLK,blk,defense,1.2317,0.1694,0.8996,1.5638
1997-1999,1998.0,DRB,drb,defense,0.5421,0.0777,0.3898,0.6944
2000-2002,2001.0,DRB,drb,defense,0.5265,0.0728,0.3838,0.6693
2003-2005,2004.0,DRB,drb,defense,0.3562,0.0769,0.2055,0.507
2006-2008,2007.0,DRB,drb,defense,0.4053,0.0733,0.2616,0.549
2009-2011,2010.0,DRB,drb,defense,0.4994,0.0684,0.3653,0.6334
2012-2014,2013.0,DRB,drb,defense,0.3937,0.0682,0.2599,0.5274
2015-2017,2016.0,DRB,drb,defense,0.3558,0.0661,0.2262,0.4854
2018-2020,2019.0,DRB,drb,defense,0.4062,0.0629,0.283,0.5295
2021-2023,2022.0,DRB,drb,defense,0.2795,0.0618,0.1583,0.4007
2024-2026,2025.0,DRB,drb,defense,0.3699,0.0662,0.2402,0.4996
1997-1999,1998.0,2P miss,fg2_miss,defense,-0.5373,0.0916,-0.7169,-0.3577
2000-2002,2001.0,2P miss,fg2_miss,defense,-0.3128,0.0887,-0.4866,-0.139
2003-2005,2004.0,2P miss,fg2_miss,defense,-0.2234,0.0897,-0.3992,-0.0475
2006-2008,2007.0,2P miss,fg2_miss,defense,-0.2456,0.0881,-0.4183,-0.073
2009-2011,2010.0,2P miss,fg2_miss,defense,-0.229,0.091,-0.4074,-0.0507
2012-2014,2013.0,2P miss,fg2_miss,defense,-0.2445,0.083,-0.4071,-0.0818
2015-2017,2016.0,2P miss,fg2_miss,defense,-0.2504,0.0908,-0.4283,-0.0725
2018-2020,2019.0,2P miss,fg2_miss,defense,-0.2065,0.0955,-0.3938,-0.0193
2021-2023,2022.0,2P miss,fg2_miss,defense,-0.2623,0.0952,-0.449,-0.0757
2024-2026,2025.0,2P miss,fg2_miss,defense,-0.2332,0.106,-0.441,-0.0255
1997-1999,1998.0,2PM,fg2m,defense,0.4643,0.104,0.2604,0.6682
2000-2002,2001.0,2PM,fg2m,defense,0.1326,0.1001,-0.0636,0.3287
2003-2005,2004.0,2PM,fg2m,defense,-0.0008,0.1062,-0.2089,0.2074
2006-2008,2007.0,2PM,fg2m,defense,0.0759,0.0994,-0.1189,0.2707
2009-2011,2010.0,2PM,fg2m,defense,0.1264,0.1003,-0.0702,0.323
