window,window_mid,stat,feature,coef_total,se_total,coef_offense,se_offense,coef_defense,se_defense
1997-1999,1998.0,AST,ast,0.5941,0.0939,0.4928,0.0624,0.1013,0.0691
1997-1999,1998.0,BLK,blk,0.7482,0.174,-0.0256,0.115,0.7738,0.1276
1997-1999,1998.0,DRB,drb,0.7056,0.1065,0.1635,0.0706,0.5421,0.0777
1997-1999,1998.0,2P miss,fg2_miss,-1.0647,0.1233,-0.5274,0.0823,-0.5373,0.0916
1997-1999,1998.0,2PM,fg2m,1.2124,0.1411,0.7481,0.0943,0.4643,0.104
1997-1999,1998.0,3P miss,fg3_miss,0.2321,0.2478,0.2326,0.166,-0.0005,0.1827
1997-1999,1998.0,3PM,fg3m,0.0515,0.4205,0.5828,0.2819,-0.5313,0.3096
1997-1999,1998.0,FT miss,ft_miss,-0.2347,0.2565,-0.0709,0.171,-0.1638,0.1909
1997-1999,1998.0,FTM,ftm,0.7171,0.1181,0.5545,0.0783,0.1626,0.0885
1997-1999,1998.0,ORB,orb,-0.1682,0.1731,0.2277,0.1156,-0.3959,0.1283
1997-1999,1998.0,PF,pf,0.0504,0.1244,-0.256,0.0824,0.3064,0.0913
1997-1999,1998.0,STL,stl,2.2159,0.272,0.5356,0.1793,1.6804,0.2019
1997-1999,1998.0,TOV,tov,-1.6258,0.2516,-0.8465,0.1666,-0.7792,0.1871
2000-2002,2001.0,AST,ast,0.5751,0.0871,0.4676,0.0579,0.1074,0.0644
2000-2002,2001.0,BLK,blk,0.8772,0.1773,-0.1267,0.1187,1.004,0.1306
2000-2002,2001.0,DRB,drb,0.5993,0.1001,0.0728,0.0665,0.5265,0.0728
2000-2002,2001.0,2P miss,fg2_miss,-0.7498,0.119,-0.437,0.079,-0.3128,0.0887
2000-2002,2001.0,2PM,fg2m,0.9211,0.1348,0.7885,0.0893,0.1326,0.1001
2000-2002,2001.0,3P miss,fg3_miss,-0.3379,0.2588,-0.0865,0.1741,-0.2514,0.1913
2000-2002,2001.0,3PM,fg3m,1.5564,0.4331,1.3698,0.2918,0.1865,0.3201
2000-2002,2001.0,FT miss,ft_miss,-0.4973,0.269,-0.2341,0.1783,-0.2632,0.2016
2000-2002,2001.0,FTM,ftm,0.8903,0.119,0.6293,0.0795,0.261,0.089
2000-2002,2001.0,ORB,orb,0.22,0.1658,0.426,0.1109,-0.2061,0.1235
2000-2002,2001.0,PF,pf,-0.1241,0.1141,-0.2957,0.0756,0.1716,0.0843
2000-2002,2001.0,STL,stl,1.8216,0.2812,0.3058,0.1848,1.5157,0.2109
