,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
3PM,-0.379,-0.29,0.352,0.094,0.259,-0.181,0.264,0.145,0.113,0.325
3P miss,-0.068,-0.03,-0.38,-0.171,-0.297,-0.185,-0.267,-0.259,-0.114,-0.162
2PM,0.248,0.128,-0.008,-0.024,0.08,-0.025,0.084,-0.101,0.176,0.016
2P miss,-0.374,-0.348,-0.282,-0.161,-0.194,-0.232,-0.311,-0.164,-0.295,-0.202
FTM,0.084,0.217,0.127,0.02,-0.009,0.193,0.087,0.136,0.132,0.204
FT miss,-0.003,-0.191,-0.094,0.008,0.294,-0.368,-0.313,0.32,-0.349,0.17
ORB,-0.286,-0.124,-0.009,-0.061,-0.182,-0.223,-0.018,-0.134,-0.032,0.237
DRB,0.557,0.508,0.412,0.443,0.487,0.389,0.423,0.375,0.295,0.371
AST,0.111,0.054,0.095,0.203,0.087,0.111,0.168,0.125,0.203,0.14
TOV,-0.656,-0.457,-0.354,-0.521,-0.522,-0.464,-0.49,-0.434,-0.396,-0.815
STL,1.403,1.52,1.294,1.091,1.393,1.435,1.696,1.427,1.274,1.92
BLK,0.729,0.965,0.941,0.946,0.672,0.868,0.907,1.05,0.995,1.241
PF,0.241,0.056,0.103,0.095,-0.029,-0.086,0.066,-0.129,-0.049,0.012
