,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
3PM,0.583,1.37,0.827,1.276,0.953,1.249,1.352,1.271,1.321,1.499
3P miss,0.233,-0.087,0.313,-0.119,0.174,-0.094,-0.122,-0.103,-0.278,-0.321
2PM,0.748,0.788,0.891,0.874,0.814,0.68,0.78,0.569,0.616,0.659
2P miss,-0.527,-0.437,-0.59,-0.564,-0.61,-0.569,-0.622,-0.465,-0.494,-0.639
FTM,0.555,0.629,0.651,0.634,0.553,0.655,0.53,0.602,0.682,0.714
FT miss,-0.071,-0.234,-0.321,-0.395,-0.29,-0.546,-0.208,-0.371,-0.787,-0.155
ORB,0.228,0.426,0.636,0.499,0.557,0.463,0.629,0.684,0.762,0.646
DRB,0.164,0.073,-0.03,0.072,0.077,-0.018,-0.032,-0.102,0.002,0.05
AST,0.493,0.468,0.576,0.395,0.508,0.495,0.442,0.421,0.41,0.395
TOV,-0.847,-1.057,-0.993,-0.742,-0.81,-0.835,-0.679,-0.657,-0.719,-0.894
STL,0.536,0.306,0.312,0.835,0.413,0.778,0.729,0.294,0.586,0.94
BLK,-0.026,-0.127,-0.013,-0.2,-0.109,-0.028,-0.239,-0.009,-0.174,-0.41
PF,-0.256,-0.296,-0.238,-0.281,-0.192,-0.232,-0.434,-0.258,-0.137,-0.151
