,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023,2024-2026
3PM,0.1,0.983,1.304,1.158,1.209,0.768,1.481,0.873,1.236,1.324
3P miss,0.191,-0.094,-0.238,-0.161,-0.181,-0.162,-0.391,-0.123,-0.364,-0.298
2PM,0.946,0.893,0.68,0.709,0.654,0.547,0.774,0.398,0.72,0.724
2P miss,-0.901,-0.763,-0.721,-0.655,-0.651,-0.729,-0.833,-0.564,-0.78,-0.893
FTM,0.657,0.839,0.787,0.694,0.567,0.818,0.677,0.723,0.832,0.86
FT miss,-0.167,-0.424,-0.375,-0.443,0.053,-0.888,-0.62,-0.137,-1.153,-0.356
ORB,0.033,0.264,0.505,0.431,0.395,0.19,0.459,0.489,0.687,0.813
DRB,0.656,0.562,0.444,0.518,0.539,0.368,0.393,0.33,0.323,0.45
AST,0.577,0.416,0.608,0.565,0.55,0.528,0.516,0.472,0.561,0.512
TOV,-1.412,-1.469,-1.179,-1.017,-1.151,-1.139,-1.082,-0.952,-0.996,-1.64
STL,1.729,2.042,1.583,1.893,1.872,2.219,2.485,1.523,1.798,2.448
BLK,0.824,0.836,0.957,0.845,0.603,0.848,0.743,1.033,0.966,0.899
PF,-0.055,-0.3,-0.212,-0.146,-0.304,-0.383,-0.344,-0.498,-0.288,-0.15
