season,phase,n_games,games_failed,games_no_events,stints_per_game,poss_per_team_game,valid_poss_frac,unresolved_subs_per_game,forced_switches_per_game,starters_failed_frac,points_match_frac,poss_within_2_frac,five_distinct_frac,clean
1997,PO,72,0,0,28.25,88.8681,0.9974,0.0,0.9167,0.0034,1.0,,1.0,True
1997,RS,1189,0,0,27.6409,92.005,0.9983,0.0084,0.439,0.0014,0.9975,,1.0,True
1998,PO,71,0,0,29.8873,87.5,0.9983,0.0,1.169,0.0035,1.0,,1.0,True
1998,RS,1189,0,0,29.1278,92.1556,0.998,0.0008,0.3818,0.0029,1.0,,1.0,True
1999,PO,66,0,0,29.6667,87.803,1.0,0.0,0.1364,0.0,1.0,,1.0,True
1999,RS,725,0,0,29.2745,90.8648,0.9991,0.0,0.389,0.0014,0.9986,,1.0,True
2000,PO,75,0,0,28.16,88.9667,1.0,0.0,0.24,0.0,1.0,,1.0,True
2000,RS,1189,0,0,28.8823,94.8844,0.9994,0.0017,0.3129,0.001,0.9992,,1.0,True
2001,PO,71,0,0,29.4366,90.669,1.0,0.0,0.6761,0.0,1.0,0.9718,1.0,True
2001,RS,1189,0,0,27.5593,93.0109,0.9995,0.0,0.3314,0.0004,1.0,0.9807,1.0,True
2002,PO,71,0,0,28.8169,92.0352,1.0,0.0,0.6197,0.0,1.0,0.9718,1.0,True
2002,RS,1189,0,0,27.2229,92.2544,0.9988,0.0,0.3347,0.0019,1.0,0.9823,1.0,True
2003,PO,88,0,0,30.1477,92.608,1.0,0.0,0.1818,0.0,1.0,0.9886,1.0,True
2003,RS,1189,0,0,27.4575,92.7313,0.9985,0.0,0.1287,0.0016,1.0,0.979,1.0,True
2004,PO,82,0,0,29.561,89.7378,1.0,0.0,0.0732,0.0,1.0,1.0,1.0,True
2004,RS,1189,0,0,27.5904,91.754,0.9993,0.0,0.1287,0.0008,0.9992,0.9798,1.0,True
2005,PO,84,0,0,31.4762,90.7679,0.9966,0.0,0.1429,0.0029,1.0,0.9881,1.0,True
2005,RS,1230,0,0,29.2325,92.6244,0.9993,0.0024,0.1203,0.0008,1.0,0.9837,1.0,True
2006,PO,89,0,0,30.8539,91.1292,0.9985,0.0,0.1685,0.0027,1.0,0.9438,1.0,False
2006,RS,1230,1,0,29.2472,92.1192,0.9997,0.0016,0.1041,0.0004,1.0,0.987,1.0,True
2007,PO,79,0,0,30.7468,90.5949,1.0,0.0,0.1139,0.0,1.0,0.9747,1.0,True
2007,RS,1230,0,0,29.5943,93.3825,0.9996,0.0008,0.1089,0.0006,1.0,0.987,1.0,True
2008,PO,86,0,0,28.4535,89.3837,1.0,0.0,0.1395,0.0,1.0,0.9884,1.0,True
2008,RS,1230,0,0,27.9496,93.6545,0.9992,0.0024,0.1073,0.001,1.0,0.9878,1.0,True
2009,PO,85,0,0,28.6471,90.3412,0.999,0.0,0.1176,0.0029,1.0,0.9882,1.0,True
2009,RS,1230,0,0,27.5301,93.0256,0.9997,0.0016,0.1024,0.0006,1.0,0.9878,1.0,True
2010,PO,82,0,0,28.6829,90.3841,1.0,0.0,0.1585,0.0,1.0,1.0,1.0,True
2010,RS,1230,0,0,27.6057,93.7772,0.9995,0.0033,0.1114,0.0004,0.9992,0.9959,1.0,True
2011,PO,81,0,0,29.9383,89.321,0.9985,0.0,0.1728,0.003,1.0,0.9136,1.0,False
2011,RS,1230,0,0,28.1984,93.2171,0.9994,0.0,0.1106,0.001,1.0,0.9943,1.0,True
2012,PO,84,0,0,29.6667,89.9345,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True
2012,RS,990,0,0,27.8253,92.5308,0.9994,0.001,0.0545,0.001,1.0,0.9919,1.0,True
2013,PO,85,0,0,30.8824,91.1647,0.9987,0.0,0.0353,0.0028,1.0,0.9647,1.0,True
2013,RS,1229,0,0,27.7453,93.1876,0.9938,0.0057,0.0456,0.0066,1.0,0.9894,1.0,True
2014,PO,89,0,0,30.4045,92.1966,1.0,0.0,0.0337,0.0,1.0,0.9775,1.0,True
2014,RS,1230,0,0,28.3537,95.1004,0.9997,0.0,0.0431,0.0006,1.0,0.9886,1.0,True
2015,PO,81,0,0,31.4198,95.8086,0.9996,0.0123,0.0864,0.0,1.0,0.9877,1.0,True
2015,RS,1230,0,0,29.2846,95.0098,0.9966,0.0016,0.0764,0.0036,1.0,0.9902,1.0,True
2016,PO,86,0,0,30.3488,93.8372,1.0,0.0,0.1047,0.0,1.0,1.0,1.0,True
2016,RS,1230,0,0,29.5642,96.752,0.9991,0.0033,0.0976,0.0012,1.0,0.9967,1.0,True
2017,PO,79,0,0,29.9367,95.2468,0.9997,0.0253,0.1139,0.0,1.0,1.0,1.0,True
2017,RS,1230,0,0,29.2252,97.1407,0.9993,0.0057,0.1398,0.0008,1.0,0.9911,1.0,True
2018,PO,82,0,0,30.4756,95.9512,0.9994,0.0244,0.1829,0.0,1.0,0.9878,1.0,True
2018,RS,1230,0,0,29.148,98.0142,0.9998,0.0008,0.5309,0.0002,1.0,0.9626,1.0,True
2019,PO,82,0,0,31.2683,98.4817,1.0,0.0,0.122,0.0,1.0,0.9878,1.0,True
2019,RS,1230,0,0,29.7634,100.7093,0.9991,0.0,0.1545,0.002,1.0,0.9902,1.0,True
2020,PO,83,0,0,31.6386,98.3313,0.9999,0.012,0.1807,0.0,1.0,0.988,1.0,True
2020,RS,1059,0,0,30.7875,100.9688,0.9998,0.0,0.1681,0.0007,1.0,0.9953,1.0,True
2021,PO,85,0,0,30.1059,96.6,1.0,0.0,0.1765,0.0,1.0,0.9882,1.0,True
2021,RS,1080,0,0,28.9546,99.713,0.9995,0.0019,0.1333,0.0005,1.0,0.9991,1.0,True
2022,PO,87,0,0,29.9195,95.3908,1.0,0.0,0.1609,0.0,1.0,1.0,1.0,True
2022,RS,1230,0,0,29.2496,98.7016,0.9996,0.0,0.1463,0.001,1.0,0.9967,1.0,True
2023,PO,84,0,0,28.7857,96.6905,1.0,0.0,0.2857,0.0,1.0,1.0,1.0,True
2023,RS,1230,0,0,29.1976,99.8756,0.9996,0.0008,0.2732,0.0014,1.0,0.9919,1.0,True
2024,PO,82,0,0,29.8171,93.2134,1.0,0.0,0.3049,0.0,1.0,1.0,1.0,True
2024,RS,1230,0,0,28.6659,99.0882,0.9995,0.0,0.2163,0.001,1.0,0.9967,1.0,True
2025,PO,84,0,0,31.1667,96.3274,0.9966,0.0119,0.3571,0.0029,1.0,0.9881,1.0,True
2025,RS,1230,0,0,29.4089,99.5207,0.9995,0.0,0.2333,0.001,1.0,0.9894,1.0,True
2026,PO,85,0,0,33.3176,96.4118,0.9994,0.0235,0.3529,0.0,1.0,0.9882,1.0,True
2026,RS,1230,0,0,31.1423,99.9557,0.9998,0.0024,0.261,0.0004,1.0,0.9984,1.0,True
