k,target,c_def,stint,game,sd_def,con_total,con_off,con_def,spread_def,bias_total
2,pts,0.0,3627.97038,113.31408,1.00064,0.89569,0.87904,0.88769,1.23147,0.19507
2,pts,0.25,3627.04891,113.01393,1.14556,0.87837,0.87931,0.87171,1.36343,0.37613
2,pts,0.5,3626.55528,112.88665,1.36218,0.85416,0.87941,0.83921,1.53317,0.49779
2,pts,0.75,3626.48948,112.93222,1.62183,0.8238,0.87938,0.80157,1.72959,0.57476
2,pts,1.0,3626.85152,113.15065,1.90691,0.79109,0.87938,0.76647,1.94465,0.62282
2,xpts_ft,0.0,3627.82683,113.23951,0.98994,0.89502,0.87932,0.88802,1.22952,0.18992
2,xpts_ft,0.25,3626.9026,112.93733,1.13589,0.87861,0.87924,0.87367,1.36134,0.37197
2,xpts_ft,0.5,3626.40621,112.80801,1.35378,0.85392,0.87901,0.84122,1.53102,0.49465
2,xpts_ft,0.75,3626.33765,112.85155,1.61454,0.82346,0.87909,0.80411,1.72744,0.57241
2,xpts_ft,1.0,3626.69692,113.06795,1.90053,0.79163,0.87928,0.76749,1.9425,0.62104
4,pts,0.0,3626.91828,113.07148,1.21382,0.89569,0.87904,0.88769,1.23147,0.19507
4,pts,0.25,3626.29042,112.86024,1.34482,0.87837,0.87931,0.87171,1.36343,0.37613
4,pts,0.5,3625.9499,112.76202,1.52607,0.85416,0.87941,0.83921,1.53317,0.49779
4,pts,0.75,3625.89671,112.77683,1.74178,0.8238,0.87938,0.80157,1.72959,0.57476
4,pts,1.0,3626.13086,112.90466,1.98061,0.79109,0.87938,0.76647,1.94465,0.62282
4,xpts_ft,0.0,3626.82474,113.0383,1.2043,0.89502,0.87932,0.88802,1.22952,0.18992
4,xpts_ft,0.25,3626.19448,112.82585,1.33566,0.87861,0.87924,0.87367,1.36134,0.37197
4,xpts_ft,0.5,3625.85156,112.72643,1.51753,0.85392,0.87901,0.84122,1.53102,0.49465
4,xpts_ft,0.75,3625.79598,112.74004,1.73389,0.82346,0.87909,0.80411,1.72744,0.57241
4,xpts_ft,1.0,3626.02773,112.86667,1.97333,0.79163,0.87928,0.76749,1.9425,0.62104
