window,window_mid,feature_i,feature_j,corr,sd_i
1997-1999,1998.0,fg3m,fg3m,1.0,1.1304
1997-1999,1998.0,fg3m,fg3_miss,0.9597,1.1304
1997-1999,1998.0,fg3m,fg2m,-0.4308,1.1304
1997-1999,1998.0,fg3m,fg2_miss,-0.3723,1.1304
1997-1999,1998.0,fg3m,ftm,-0.1405,1.1304
1997-1999,1998.0,fg3m,ft_miss,-0.4815,1.1304
1997-1999,1998.0,fg3m,orb,-0.6591,1.1304
1997-1999,1998.0,fg3m,drb,-0.5698,1.1304
1997-1999,1998.0,fg3m,ast,0.3046,1.1304
1997-1999,1998.0,fg3m,tov,-0.0646,1.1304
1997-1999,1998.0,fg3m,stl,0.2394,1.1304
1997-1999,1998.0,fg3m,blk,-0.4699,1.1304
1997-1999,1998.0,fg3m,pf,-0.4659,1.1304
1997-1999,1998.0,fg3_miss,fg3m,0.9597,1.8973
1997-1999,1998.0,fg3_miss,fg3_miss,1.0,1.8973
1997-1999,1998.0,fg3_miss,fg2m,-0.4209,1.8973
1997-1999,1998.0,fg3_miss,fg2_miss,-0.335,1.8973
1997-1999,1998.0,fg3_miss,ftm,-0.127,1.8973
1997-1999,1998.0,fg3_miss,ft_miss,-0.465,1.8973
1997-1999,1998.0,fg3_miss,orb,-0.6748,1.8973
1997-1999,1998.0,fg3_miss,drb,-0.5906,1.8973
1997-1999,1998.0,fg3_miss,ast,0.3551,1.8973
1997-1999,1998.0,fg3_miss,tov,-0.0048,1.8973
1997-1999,1998.0,fg3_miss,stl,0.2892,1.8973
1997-1999,1998.0,fg3_miss,blk,-0.4931,1.8973
1997-1999,1998.0,fg3_miss,pf,-0.4745,1.8973
1997-1999,1998.0,fg2m,fg3m,-0.4308,2.333
1997-1999,1998.0,fg2m,fg3_miss,-0.4209,2.333
1997-1999,1998.0,fg2m,fg2m,1.0,2.333
1997-1999,1998.0,fg2m,fg2_miss,0.8614,2.333
1997-1999,1998.0,fg2m,ftm,0.6343,2.333
1997-1999,1998.0,fg2m,ft_miss,0.5698,2.333
1997-1999,1998.0,fg2m,orb,0.3126,2.333
1997-1999,1998.0,fg2m,drb,0.3775,2.333
1997-1999,1998.0,fg2m,ast,-0.1179,2.333
1997-1999,1998.0,fg2m,tov,0.3917,2.333
1997-1999,1998.0,fg2m,stl,-0.1394,2.333
1997-1999,1998.0,fg2m,blk,0.2893,2.333
1997-1999,1998.0,fg2m,pf,-0.0409,2.333
1997-1999,1998.0,fg2_miss,fg3m,-0.3723,2.3572
1997-1999,1998.0,fg2_miss,fg3_miss,-0.335,2.3572
1997-1999,1998.0,fg2_miss,fg2m,0.8614,2.3572
1997-1999,1998.0,fg2_miss,fg2_miss,1.0,2.3572
1997-1999,1998.0,fg2_miss,ftm,0.5786,2.3572
1997-1999,1998.0,fg2_miss,ft_miss,0.4307,2.3572
1997-1999,1998.0,fg2_miss,orb,0.1947,2.3572
1997-1999,1998.0,fg2_miss,drb,0.2182,2.3572
1997-1999,1998.0,fg2_miss,ast,-0.0783,2.3572
1997-1999,1998.0,fg2_miss,tov,0.4267,2.3572
1997-1999,1998.0,fg2_miss,stl,-0.103,2.3572
1997-1999,1998.0,fg2_miss,blk,0.1724,2.3572
1997-1999,1998.0,fg2_miss,pf,-0.038,2.3572
1997-1999,1998.0,ftm,fg3m,-0.1405,1.8051
1997-1999,1998.0,ftm,fg3_miss,-0.127,1.8051
1997-1999,1998.0,ftm,fg2m,0.6343,1.8051
1997-1999,1998.0,ftm,fg2_miss,0.5786,1.8051
