system,level,verdict,diff_k2,diff_k4,z_k2,z_k4,wins_k2,wins_k4
def3_p0_rep,stint,WINS,-0.3025040892731892,-0.2534548701905643,-3.3091774938308474,-4.064233042023211,21/28,21/28
mspi,stint,loses,1.0459876891465487,0.8610273131682139,3.0152426277493034,2.7463917554842494,9/28,10/28
mspi_apm,stint,flat,0.04067860716514003,0.04599479271433081,0.12114767560901944,0.1785603365417957,15/28,11/28
mspi_mix,stint,flat,-0.042136580794752784,-0.036053557084171316,-0.13077287088793882,-0.151494096862752,14/28,13/28
mspi_mix_rep,stint,flat,-0.38951879173555426,-0.2805137550567614,-1.2449834948973804,-1.2120129941204785,17/28,13/28
mspi_rep,stint,loses,0.6956794845209677,0.6167417818071661,2.093291279864173,2.035823192042031,11/28,9/28
rankmap_def3_p0,stint,WINS,-0.38453550273649334,-0.25435015347406015,-3.3841283018696418,-3.198109865119304,22/28,23/28
def3_p0_rep,game,WINS,-0.18440104942385613,-0.1316298047844445,-3.3473174066577567,-3.494194082099305,21/28,21/28
mspi,game,WINS,-0.5462346907299397,-0.5179443906651718,-2.393907955527976,-2.6977686454131167,19/28,21/28
mspi_apm,game,WINS,-0.48177176345198297,-0.4438528974232762,-2.4109076808209178,-2.5993098106902766,20/28,20/28
mspi_mix,game,WINS,-0.5499674241505268,-0.43333967413334,-2.9722136573995805,-3.041128671777104,22/28,20/28
mspi_mix_rep,game,WINS,-0.7567036799162682,-0.5701831272232825,-4.25280343233283,-4.043477707649988,24/28,22/28
mspi_rep,game,WINS,-0.7625756107392664,-0.6636761058260373,-3.5661769157242533,-3.556340551335699,21/28,21/28
rankmap_def3_p0,game,WINS,-0.3154774200212813,-0.22709166369386022,-4.021602511968123,-3.933726757371093,24/28,21/28
