system,level,verdict,diff_k2,diff_k4,z_k2,z_k4,wins_k2,wins_k4
hybrid,stint,loses,0.1475177126619818,0.09487974811268682,3.5083468717253417,2.7587792710318615,7/28,6/28
hybrid_xcont,stint,loses,4.236323498671449,4.569193357989385,11.895924009055555,13.035506970346798,0/28,0/28
hybrid_xcont_lineup,stint,loses,2.9250121361368753,3.0682929421242306,9.50365318711452,9.827597480870901,1/28,1/28
hybrid_xshoot,stint,loses,3.1441815121750585,3.409402123498743,9.461862736010827,10.366774298647115,1/28,1/28
hybrid_xshoot_flat,stint,loses,4.648416992684896,5.258203252345278,12.808796075963809,13.900327394560925,0/28,0/28
hybrid_xshoot_x1,stint,loses,3.2774241129981516,3.685812534853182,9.750912361656493,10.791305279828604,1/28,0/28
split_xcont,stint,loses,0.5605943717827293,0.8282723864615978,4.480593048235227,5.17025622176143,7/28,5/28
split_xshoot,stint,loses,0.40828116222199434,0.6345421455069332,3.4297688475516512,5.164009184547693,10/28,5/28
split_xshoot_flat,stint,loses,0.651526900426396,1.2633123053541178,5.231484081072494,7.941786281285035,5/28,1/28
hybrid,game,flat,0.07627130383093318,0.03408552658111625,2.1616046577286756,1.1088003256038892,8/28,12/28
hybrid_xcont,game,loses,2.327984043012538,2.1505429891839283,6.687679058759003,6.162247654808494,2/28,3/28
hybrid_xcont_lineup,game,loses,1.3314309757201994,1.071017086023804,4.852283190152085,3.812843767945447,4/28,4/28
hybrid_xshoot,game,loses,1.7141160162835907,1.5228464196391072,5.92299500932987,5.108108974774339,2/28,5/28
hybrid_xshoot_flat,game,loses,2.3909371034627847,2.249666712141108,7.745495628336308,6.97456544129361,1/28,1/28
hybrid_xshoot_x1,game,loses,1.7902494082026885,1.6497884040085455,6.077076515956632,5.377154436822844,2/28,3/28
split_xcont,game,flat,-0.0629593789802304,-0.1840610475675289,-0.5312263201674702,-1.3545830588750856,15/28,15/28
split_xshoot,game,flat,-0.0720348963858274,-0.12550742483814353,-0.7267734749706709,-1.2858769105815475,14/28,18/28
split_xshoot_flat,game,flat,-0.1435860162289972,-0.09440107767066815,-1.3876206870606858,-0.7924239075521381,16/28,14/28
