system,level,verdict,diff_k2,diff_k4,z_k2,z_k4,wins_k2,wins_k4
def3_p0,stint,loses,0.38453550273649334,0.25435015347406015,3.3841283018696418,3.198109865119304,6/28,5/28
def3_p0_rep,stint,flat,0.0820314134633041,0.0008952832834958306,0.5309029417466633,0.008495141581713923,14/28,14/28
mspi,stint,loses,1.4305231918830421,1.115377466642274,4.872844825373397,4.182729974883935,7/28,6/28
mspi_apm,stint,flat,0.4252141099016334,0.30034494618839097,1.4292809698226199,1.3768157107981867,15/28,8/28
mspi_mix,stint,flat,0.34239892194174054,0.21829659638988883,1.1935700724853946,1.0967447437500593,12/28,10/28
mspi_mix_rep,stint,flat,-0.0049832889990609275,-0.02616360158270124,-0.01777572591779264,-0.1348236683135971,14/28,9/28
mspi_rep,stint,loses,1.0802149872574611,0.8710919352812263,3.8601108642591053,3.4002865467476604,7/28,8/28
def3_p0,game,loses,0.3154774200212813,0.22709166369386022,4.021602511968123,3.933726757371093,4/28,7/28
def3_p0_rep,game,flat,0.1310763705974252,0.0954618589094157,1.102286666664485,1.2665475479990826,12/28,13/28
mspi,game,flat,-0.2307572707086583,-0.2908527269713116,-1.1894638400567759,-1.8435997205890275,17/28,21/28
mspi_apm,game,flat,-0.16629434343070162,-0.216761233729416,-0.9665101319995965,-1.4355547214880782,15/28,17/28
mspi_mix,game,flat,-0.23449000412924548,-0.2062480104394798,-1.473473006513193,-1.7255083443264145,17/28,17/28
mspi_mix_rep,game,WINS,-0.44122625989498687,-0.3430914635294222,-2.757612093867799,-2.8316037419617137,18/28,23/28
mspi_rep,game,WINS,-0.44709819071798507,-0.43658444213217706,-2.42295203673439,-2.8417325263566537,18/28,22/28
