side,stat,feature,first_window,first,last_window,last,change,change_se,change_z,era_mean,max_dev_z,max_dev_window,min_coef,max_coef,sign_convention
defense,ORB,orb,1997-1999,-0.3959,2024-2026,0.1115,0.5074,0.1699,2.9868,-0.1402,2.2604,2024-2026,-0.3959,0.1115,positive = good on both sides; total = offense + defense
defense,3PM,fg3m,1997-1999,-0.5313,2024-2026,0.4361,0.9674,0.3613,2.6778,0.2114,2.3989,1997-1999,-0.5313,0.7005,positive = good on both sides; total = offense + defense
defense,2PM,fg2m,1997-1999,0.4643,2024-2026,0.0913,-0.373,0.1402,-2.6603,0.1055,3.4485,1997-1999,-0.0493,0.4643,positive = good on both sides; total = offense + defense
defense,2P miss,fg2_miss,1997-1999,-0.5373,2024-2026,-0.2332,0.3041,0.1401,2.1701,-0.2752,2.8606,1997-1999,-0.5373,-0.2065,positive = good on both sides; total = offense + defense
defense,BLK,blk,1997-1999,0.7738,2024-2026,1.2317,0.4579,0.2121,2.1587,0.9368,1.7401,2024-2026,0.7261,1.2317,positive = good on both sides; total = offense + defense
defense,DRB,drb,1997-1999,0.5421,2024-2026,0.3699,-0.1722,0.1021,-1.6869,0.4066,2.055,2021-2023,0.2795,0.5421,positive = good on both sides; total = offense + defense
defense,FT miss,ft_miss,1997-1999,-0.1638,2024-2026,0.3005,0.4643,0.3306,1.4042,-0.1181,1.9718,2012-2014,-0.5114,0.3005,positive = good on both sides; total = offense + defense
defense,PF,pf,1997-1999,0.3064,2024-2026,0.1185,-0.1879,0.1493,-1.2585,0.1088,2.1637,1997-1999,-0.0663,0.3064,positive = good on both sides; total = offense + defense
defense,TOV,tov,1997-1999,-0.7792,2024-2026,-1.0173,-0.238,0.2606,-0.9133,-0.6802,1.8577,2024-2026,-1.0173,-0.4437,positive = good on both sides; total = offense + defense
defense,STL,stl,1997-1999,1.6804,2024-2026,1.9304,0.25,0.2997,0.8342,1.5057,1.9173,2024-2026,1.0842,1.9304,positive = good on both sides; total = offense + defense
defense,AST,ast,1997-1999,0.1013,2024-2026,0.1753,0.074,0.0917,0.8073,0.1605,1.296,2021-2023,0.1013,0.2472,positive = good on both sides; total = offense + defense
defense,3P miss,fg3_miss,1997-1999,-0.0005,2024-2026,-0.1694,-0.1689,0.2189,-0.7718,-0.2475,1.356,2003-2005,-0.519,-0.0005,positive = good on both sides; total = offense + defense
defense,FTM,ftm,1997-1999,0.1626,2024-2026,0.2378,0.0751,0.1259,0.5965,0.1511,1.598,2009-2011,0.0241,0.261,positive = good on both sides; total = offense + defense
offense,3PM,fg3m,1997-1999,0.5828,2024-2026,1.4994,0.9165,0.3292,2.7842,1.2435,2.3437,1997-1999,0.5828,1.4994,positive = good on both sides; total = offense + defense
offense,3P miss,fg3_miss,1997-1999,0.2326,2024-2026,-0.3213,-0.5539,0.1993,-2.7789,-0.0968,2.2655,2003-2005,-0.3213,0.3134,positive = good on both sides; total = offense + defense
offense,ORB,orb,1997-1999,0.2277,2024-2026,0.6461,0.4184,0.1524,2.7451,0.555,2.8313,1997-1999,0.2277,0.7619,positive = good on both sides; total = offense + defense
offense,BLK,blk,1997-1999,-0.0256,2024-2026,-0.4099,-0.3844,0.1912,-2.0104,-0.1215,1.8884,2024-2026,-0.4099,-0.0094,positive = good on both sides; total = offense + defense
offense,STL,stl,1997-1999,0.5356,2024-2026,0.9396,0.404,0.2667,1.5149,0.5678,1.8832,2024-2026,0.2938,0.9396,positive = good on both sides; total = offense + defense
offense,FTM,ftm,1997-1999,0.5545,2024-2026,0.714,0.1595,0.112,1.4241,0.6183,1.263,2015-2017,0.5296,0.714,positive = good on both sides; total = offense + defense
offense,DRB,drb,1997-1999,0.1635,2024-2026,0.0502,-0.1133,0.0929,-1.2198,0.0194,2.1168,2018-2020,-0.1021,0.1635,positive = good on both sides; total = offense + defense
offense,AST,ast,1997-1999,0.4928,2024-2026,0.3948,-0.098,0.0828,-1.184,0.4584,1.9437,2003-2005,0.3948,0.5761,positive = good on both sides; total = offense + defense
offense,2P miss,fg2_miss,1997-1999,-0.5274,2024-2026,-0.6395,-0.1121,0.1254,-0.894,-0.5504,1.4364,2000-2002,-0.6395,-0.437,positive = good on both sides; total = offense + defense
offense,PF,pf,1997-1999,-0.256,2024-2026,-0.1509,0.1052,0.1348,0.7802,-0.2516,1.919,2015-2017,-0.4336,-0.1369,positive = good on both sides; total = offense + defense
offense,2PM,fg2m,1997-1999,0.7481,2024-2026,0.6591,-0.089,0.1269,-0.7015,0.7365,1.8784,2018-2020,0.5686,0.8909,positive = good on both sides; total = offense + defense
offense,FT miss,ft_miss,1997-1999,-0.0709,2024-2026,-0.1545,-0.0837,0.2947,-0.284,-0.3312,2.2134,2021-2023,-0.7874,-0.0709,positive = good on both sides; total = offense + defense
offense,TOV,tov,1997-1999,-0.8465,2024-2026,-0.8944,-0.0479,0.2308,-0.2075,-0.8273,1.447,2000-2002,-1.0567,-0.6566,positive = good on both sides; total = offense + defense
total,ORB,orb,1997-1999,-0.1682,2024-2026,0.7577,0.9259,0.2286,4.0496,0.4153,3.3715,1997-1999,-0.1682,0.7577,positive = good on both sides; total = offense + defense
total,3PM,fg3m,1997-1999,0.0515,2024-2026,1.9354,1.8839,0.4915,3.833,1.4546,3.3366,1997-1999,0.0515,1.9354,positive = good on both sides; total = offense + defense
total,2PM,fg2m,1997-1999,1.2124,2024-2026,0.7504,-0.462,0.1898,-2.4342,0.8413,2.6299,1997-1999,0.5194,1.2124,positive = good on both sides; total = offense + defense
total,3P miss,fg3_miss,1997-1999,0.2321,2024-2026,-0.4907,-0.7229,0.2974,-2.4304,-0.3451,2.3296,1997-1999,-0.5598,0.2321,positive = good on both sides; total = offense + defense
total,DRB,drb,1997-1999,0.7056,2024-2026,0.4201,-0.2855,0.1395,-2.0469,0.425,2.6333,1997-1999,0.2816,0.7056,positive = good on both sides; total = offense + defense
total,STL,stl,1997-1999,2.2159,2024-2026,2.8699,0.654,0.4037,1.6202,2.0735,2.6704,2024-2026,1.5581,2.8699,positive = good on both sides; total = offense + defense
total,FTM,ftm,1997-1999,0.7171,2024-2026,0.9517,0.2346,0.1683,1.394,0.7694,1.8225,2009-2011,0.577,0.9517,positive = good on both sides; total = offense + defense
total,2P miss,fg2_miss,1997-1999,-1.0647,2024-2026,-0.8727,0.192,0.1886,1.0181,-0.8252,1.9417,1997-1999,-1.0647,-0.6712,positive = good on both sides; total = offense + defense
total,FT miss,ft_miss,1997-1999,-0.2347,2024-2026,0.1459,0.3806,0.4422,0.8606,-0.45,2.3098,2012-2014,-1.0703,0.1459,positive = good on both sides; total = offense + defense
total,TOV,tov,1997-1999,-1.6258,2024-2026,-1.9117,-0.2859,0.3486,-0.8202,-1.5071,1.6768,2024-2026,-1.9117,-1.27,positive = good on both sides; total = offense + defense
total,PF,pf,1997-1999,0.0504,2024-2026,-0.0324,-0.0828,0.202,-0.4097,-0.1424,1.5497,1997-1999,-0.3627,0.0504,positive = good on both sides; total = offense + defense
total,BLK,blk,1997-1999,0.7482,2024-2026,0.8217,0.0735,0.2878,0.2554,0.8156,1.0425,2003-2005,0.6174,1.0002,positive = good on both sides; total = offense + defense
total,AST,ast,1997-1999,0.5941,2024-2026,0.5701,-0.024,0.124,-0.1936,0.6187,1.4359,2003-2005,0.5376,0.7497,positive = good on both sides; total = offense + defense
