window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total
1997-1999,1998.0,1495,Tim Duncan,9580.0,9520.0,0.343,2.0754,1.9298,4.0053,0.1777,1.1976,1.3753,0.4566,2.1902,2.6468,0.9301,3.1399,4.0701,3.0056,5.0697,8.0753,2.532,4.12,6.6521
1997-1999,1998.0,297,Alonzo Mourning,10911.0,10819.0,0.3729,-0.0292,1.8029,1.7737,0.606,0.4607,1.0667,1.3998,3.2165,4.6163,1.4457,3.8999,5.3455,1.4164,5.7028,7.1192,1.3705,5.0194,6.3899
1997-1999,1998.0,893,Michael Jordan,11774.0,11772.0,0.3908,3.1621,0.3233,3.4854,0.3985,0.5691,0.9676,1.621,0.9091,2.5301,2.32,1.2979,3.6179,5.482,1.6213,7.1033,4.7831,1.2324,6.0155
1997-1999,1998.0,406,Shaquille O'Neal,11126.0,11093.0,0.3774,0.8598,1.7197,2.5796,-0.0227,0.3623,0.3397,1.9797,1.2121,3.1918,2.5598,1.9557,4.5155,3.4196,3.6754,7.095,2.8395,2.9319,5.7714
1997-1999,1998.0,764,David Robinson,7672.0,7625.0,0.2948,1.7602,2.4931,4.2533,-0.5836,1.1707,0.5871,0.0759,1.3749,1.4508,0.5971,2.421,3.0182,2.3574,4.9141,7.2715,1.8361,3.868,5.7041
1997-1999,1998.0,708,Kevin Garnett,15329.0,15318.0,0.4551,1.8924,1.491,3.3835,0.0963,0.4905,0.5869,0.2551,1.308,1.5632,0.8537,1.7731,2.6268,2.7461,3.2641,6.0102,2.1476,2.799,4.9466
1997-1999,1998.0,87,Dikembe Mutombo,13873.0,13832.0,0.4305,-0.3157,2.4752,2.1594,-0.1566,1.1213,0.9647,0.2941,2.35,2.644,0.2505,3.2482,3.4987,-0.0652,5.7233,5.6581,-0.0217,4.8251,4.8035
1997-1999,1998.0,739,Rasheed Wallace,11747.0,11736.0,0.3903,0.5203,0.5386,1.0589,0.251,0.0902,0.3412,0.5711,3.1669,3.738,0.8361,3.4449,4.2809,1.3564,3.9834,5.3398,1.0914,3.7055,4.7968
1997-1999,1998.0,304,John Stockton,11392.0,11397.0,0.383,1.1734,0.8949,2.0683,-0.1414,-0.041,-0.1824,1.8367,0.7463,2.583,2.266,1.4589,3.7249,3.4394,2.3538,5.7932,3.0102,1.6411,4.6513
1997-1999,1998.0,252,Karl Malone,14819.0,14814.0,0.4467,2.3968,0.4459,2.8427,0.3097,-0.7289,-0.4192,1.8531,-0.1436,1.7095,2.6819,0.0964,2.7783,5.0788,0.5423,5.6211,4.2499,0.3023,4.5522
1997-1999,1998.0,255,Grant Hill,14979.0,15008.0,0.4494,2.4686,0.4156,2.8841,1.4999,0.2387,1.7386,0.8327,0.8222,1.6549,1.4777,0.9868,2.4645,3.9462,1.4024,5.3486,3.3012,1.2378,4.539
1997-1999,1998.0,56,Gary Payton,15784.0,15772.0,0.4624,1.9802,0.2066,2.1867,-0.1614,-0.192,-0.3533,1.5262,0.8244,2.3507,2.0676,1.1075,3.175,4.0477,1.3141,5.3618,3.5064,1.031,4.5374
1997-1999,1998.0,165,Hakeem Olajuwon,11870.0,11839.0,0.3928,1.3228,2.0517,3.3745,-1.0733,0.2217,-0.8517,-0.4767,1.6232,1.1466,0.1815,2.3983,2.5798,1.5044,4.4499,5.9543,0.8462,3.6749,4.5211
1997-1999,1998.0,731,Greg Ostertag,8213.0,8171.0,0.3092,-1.2478,2.0614,0.8136,0.5592,-0.588,-0.0287,0.7835,2.8433,3.6269,0.9875,3.936,4.9235,-0.2603,5.9974,5.7372,-0.4643,4.9048,4.4405
1997-1999,1998.0,224,Eddie Jones,15002.0,14994.0,0.4498,1.4725,0.8423,2.3148,-0.1118,0.2674,0.1556,1.2262,0.8748,2.101,1.6557,1.5932,3.249,3.1282,2.4356,5.5638,2.6987,1.7172,4.4159
1997-1999,1998.0,717,Arvydas Sabonis,10240.0,10186.0,0.3581,0.6721,1.7441,2.4162,-0.0664,0.1591,0.0927,0.635,1.2152,1.8503,0.9887,1.7047,2.6934,1.6609,3.4488,5.1097,1.3072,2.9593,4.2665
1997-1999,1998.0,467,Jason Kidd,13761.0,13747.0,0.4285,1.6233,0.7007,2.324,-0.0436,-0.0698,-0.1134,1.0899,0.5852,1.6751,1.3992,0.863,2.2622,3.0225,1.5637,4.5862,2.7133,1.2859,3.9991
1997-1999,1998.0,121,Patrick Ewing,9544.0,9538.0,0.3421,-0.1593,2.6317,2.4724,-0.0226,0.7163,0.6936,0.092,1.4099,1.5019,0.071,2.4091,2.4801,-0.0883,5.0408,4.9525,-0.0673,4.0416,3.9743
1997-1999,1998.0,431,Shawn Kemp,13241.0,13150.0,0.4191,0.5917,0.7465,1.3381,0.142,-0.1538,-0.0119,0.4261,2.1434,2.5695,0.7427,2.707,3.4497,1.3343,3.4535,4.7878,1.0178,2.8899,3.9076
1997-1999,1998.0,124,Vlade Divac,12102.0,12149.0,0.3974,-0.2684,1.2853,1.017,0.278,0.442,0.72,1.0124,1.7971,2.8095,1.2915,2.075,3.3665,1.0231,3.3604,4.3835,0.744,3.0824,3.8264
1997-1999,1998.0,448,Bo Outlaw,11086.0,11089.0,0.3766,0.2001,1.3599,1.5599,0.3673,-0.1024,0.2649,0.0717,2.1673,2.2391,-0.0166,2.8359,2.8193,0.1835,4.1957,4.3792,0.2718,3.5272,3.799
1997-1999,1998.0,937,Scottie Pippen,12732.0,12731.0,0.4096,1.375,0.8231,2.198,0.3784,0.3671,0.7454,1.4121,0.0616,1.4737,2.1509,0.6193,2.7703,3.5259,1.4424,4.9683,2.787,0.8847,3.6717
1997-1999,1998.0,109,Robert Horry,8402.0,8400.0,0.314,-0.1655,1.9146,1.7491,0.6724,-0.4826,0.1898,0.8296,1.0864,1.916,1.1033,1.9726,3.0759,0.9378,3.8872,4.8251,0.6641,3.001,3.6651
1997-1999,1998.0,166,Ron Harper,9431.0,9429.0,0.3395,-0.2902,1.5829,1.2927,-0.1715,0.5913,0.4198,0.7973,1.5274,2.3247,0.8213,2.5134,3.3347,0.5311,4.0963,4.6274,0.5071,3.1103,3.6175
1997-1999,1998.0,17,Clyde Drexler,9146.0,9126.0,0.3326,1.7001,1.17,2.8701,0.0136,0.4105,0.4241,0.2891,0.4417,0.7308,0.8816,0.9239,1.8055,2.5817,2.0939,4.6756,1.9892,1.6117,3.6009
1997-1999,1998.0,1713,Vince Carter,3280.0,3281.0,0.1516,1.8813,0.7756,2.6569,-0.0799,0.2997,0.2198,0.3396,0.5701,0.9096,0.5479,0.8888,1.4367,2.4292,1.6644,4.0936,2.2209,1.3457,3.5665
1997-1999,1998.0,185,Chris Webber,14243.0,14252.0,0.437,1.4021,1.4418,2.8439,-0.311,0.1015,-0.2096,0.0143,0.6702,0.6845,0.5816,1.0982,1.6797,1.9837,2.5399,4.5236,1.4164,2.112,3.5284
1997-1999,1998.0,204,Jeff Hornacek,12380.0,12384.0,0.4028,1.3483,0.1642,1.5125,0.1279,0.0953,0.2232,1.8732,-0.0161,1.8571,2.534,0.3435,2.8775,3.8822,0.5077,4.39,3.2214,0.1482,3.3696
1997-1999,1998.0,302,Mookie Blaylock,13729.0,13680.0,0.428,0.5372,0.3721,0.9092,0.7047,0.1202,0.8249,1.2189,1.1364,2.3553,1.278,1.5919,2.8699,1.8151,1.964,3.7791,1.756,1.5085,3.2645
1997-1999,1998.0,896,Tim Hardaway,14656.0,14649.0,0.444,1.6401,-0.4462,1.194,-0.1263,0.2051,0.0788,1.3347,0.5861,1.9208,1.5803,0.4798,2.0602,3.2205,0.0337,3.2541,2.9748,0.1399,3.1147
1997-1999,1998.0,136,P.J. Brown,11960.0,11962.0,0.3946,-0.9289,1.0158,0.0869,-0.0706,0.0217,-0.0489,0.6372,2.3389,2.9761,0.6036,2.6472,3.2508,-0.3253,3.6631,3.3377,-0.2916,3.3547,3.063
1997-1999,1998.0,787,Charles Barkley,10858.0,10862.0,0.3717,1.1915,0.2658,1.4574,0.4022,-0.1541,0.2481,1.6724,-0.195,1.4774,2.2623,-0.2968,1.9655,3.4538,-0.0309,3.4228,2.8639,0.0709,2.9348
1997-1999,1998.0,184,Bobby Phills,10631.0,10656.0,0.3668,0.3836,0.3595,0.7431,0.0721,0.0929,0.165,0.9831,1.0462,2.0293,0.9958,1.3828,2.3785,1.3793,1.7423,3.1216,1.3667,1.4057,2.7724
1997-1999,1998.0,762,Shawn Bradley,10080.0,10021.0,0.3545,-1.2467,1.6955,0.4488,0.0232,-0.2069,-0.1837,-0.3325,2.6409,2.3084,-0.5564,3.2523,2.6959,-1.8031,4.9478,3.1447,-1.5792,4.3364,2.7572
1997-1999,1998.0,980,Zydrunas Ilgauskas,4772.0,4760.0,0.2064,0.2619,1.2214,1.4834,-0.9215,-0.1891,-1.1106,-0.1265,1.3509,1.2244,0.0842,1.8184,1.9027,0.3462,3.0399,3.386,0.1355,2.5723,2.7078
1997-1999,1998.0,1510,Brevin Knight,6917.0,6880.0,0.2737,0.396,0.7633,1.1593,0.3423,0.1204,0.4627,0.3748,1.0507,1.4255,0.5585,1.4747,2.0332,0.9545,2.238,3.1925,0.7708,1.814,2.5848
