window,window_mid,player_id,shrinkage,prior_off,prior_def,prior_total,u_off,u_def,u_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,prior_off_po,prior_def_po,prior_total_po,rapm_mm_off_po,rapm_mm_def_po,rapm_mm_total_po,poss_off,poss_def,seasons,player_name
1997-1999,1998.0,764,0.138,3.7353,4.8168,8.5521,-0.2247,0.909,0.6843,3.5106,5.7258,9.2363,4.2808,4.1862,8.467,4.0561,5.0952,9.1513,7672.0,7625.0,3,David Robinson
1997-1999,1998.0,406,0.1387,4.3717,3.6982,8.0699,0.285,-0.2108,0.0743,4.6567,3.4874,8.1441,4.5301,4.096,8.6261,4.8151,3.8852,8.7003,11126.0,11093.0,3,Shaquille O'Neal
1997-1999,1998.0,252,0.1813,5.3102,2.7255,8.0357,0.2513,-0.7526,-0.5014,5.5614,1.9729,7.5343,4.8415,3.147,7.9885,5.0927,2.3944,7.4872,14819.0,14814.0,3,Karl Malone
1997-1999,1998.0,717,0.1331,2.1555,4.3415,6.497,0.116,0.293,0.4089,2.2715,4.6344,6.9059,2.6244,4.1454,6.7698,2.7404,4.4383,7.1788,10240.0,10186.0,3,Arvydas Sabonis
1997-1999,1998.0,87,0.1708,0.6598,4.9782,5.638,-0.1191,1.3833,1.2642,0.5407,6.3615,6.9022,1.9623,3.7675,5.7298,1.8432,5.1508,6.994,13873.0,13832.0,3,Dikembe Mutombo
1997-1999,1998.0,787,0.1375,4.3899,2.8368,7.2267,0.1562,-0.6497,-0.4935,4.5461,2.1871,6.7332,3.9359,3.1049,7.0408,4.092,2.4552,6.5473,10858.0,10862.0,3,Charles Barkley
1997-1999,1998.0,297,0.137,1.4714,3.7128,5.1842,0.1877,1.2682,1.4558,1.6591,4.9809,6.64,2.4567,3.318,5.7747,2.6444,4.5861,7.2306,10911.0,10819.0,3,Alonzo Mourning
1997-1999,1998.0,304,0.15,5.573,1.1089,6.6819,0.2624,-0.3628,-0.1004,5.8355,0.746,6.5815,5.7109,2.2432,7.9541,5.9733,1.8804,7.8537,11392.0,11397.0,3,John Stockton
1997-1999,1998.0,893,0.202,5.2109,-0.085,5.1259,0.3215,0.9675,1.289,5.5324,0.8825,6.415,3.8924,-0.3971,3.4953,4.2139,0.5704,4.7843,11774.0,11772.0,2,Michael Jordan
1997-1999,1998.0,255,0.1833,3.4665,2.1509,5.6173,0.2416,0.2386,0.4802,3.7081,2.3895,6.0976,3.528,2.7748,6.3028,3.7696,3.0134,6.783,14979.0,15008.0,3,Grant Hill
1997-1999,1998.0,1495,0.1774,1.6428,3.0864,4.7292,0.1445,1.067,1.2114,1.7873,4.1534,5.9406,2.4791,2.7662,5.2454,2.6236,3.8332,6.4568,9580.0,9520.0,2,Tim Duncan
1997-1999,1998.0,165,0.1526,1.1364,4.0632,5.1996,-0.2381,0.6608,0.4228,0.8983,4.724,5.6223,1.9343,3.8429,5.7772,1.6962,4.5037,6.1999,11870.0,11839.0,3,Hakeem Olajuwon
1997-1999,1998.0,56,0.1895,5.0018,0.3345,5.3363,0.0892,0.1681,0.2573,5.0911,0.5026,5.5936,4.2009,0.8433,5.0442,4.2902,1.0114,5.3016,15784.0,15772.0,3,Gary Payton
1997-1999,1998.0,124,0.1521,0.9236,3.1803,4.1039,0.1265,0.789,0.9155,1.0501,3.9693,5.0194,1.6073,3.0406,4.6479,1.7338,3.8296,5.5634,12102.0,12149.0,3,Vlade Divac
1997-1999,1998.0,203,0.0499,1.2077,3.1331,4.3407,0.0821,0.5379,0.6201,1.2898,3.671,4.9608,1.3065,3.4988,4.8053,1.3886,4.0368,5.4254,1974.0,1977.0,2,Nate McMillan
1997-1999,1998.0,121,0.1453,0.312,3.1944,3.5064,0.1004,1.2221,1.3225,0.4124,4.4165,4.8289,1.2209,2.4767,3.6977,1.3214,3.6988,5.0202,9544.0,9538.0,3,Patrick Ewing
1997-1999,1998.0,302,0.1701,3.1125,0.4757,3.5882,0.1975,0.8606,1.0582,3.31,1.3363,4.6464,2.5136,0.647,3.1607,2.7112,1.5076,4.2188,13729.0,13680.0,3,Mookie Blaylock
1997-1999,1998.0,193,0.2,2.1074,2.5645,4.672,-0.0247,-0.0178,-0.0425,2.0827,2.5468,4.6295,2.1261,2.8529,4.979,2.1014,2.8351,4.9365,11629.0,11687.0,2,Anthony Mason
1997-1999,1998.0,1510,0.1419,1.802,2.4256,4.2276,0.1281,0.2728,0.401,1.9301,2.6984,4.6286,2.1336,3.6462,5.7797,2.2617,3.919,6.1807,6917.0,6880.0,2,Brevin Knight
1997-1999,1998.0,1802,0.0369,1.5577,2.7485,4.3062,0.2438,-0.0917,0.1521,1.8016,2.6568,4.4583,1.6661,2.7187,4.3848,1.91,2.627,4.537,890.0,896.0,1,Brad Miller
1997-1999,1998.0,448,0.1562,-0.195,3.4899,3.2949,0.1278,1.0187,1.1464,-0.0672,4.5086,4.4413,0.6149,3.4768,4.0917,0.7427,4.4954,5.2381,11086.0,11089.0,3,Bo Outlaw
1997-1999,1998.0,185,0.1739,1.4023,2.6493,4.0516,-0.0089,0.2495,0.2407,1.3934,2.8989,4.2922,1.8973,2.7307,4.628,1.8884,2.9802,4.8686,14243.0,14252.0,3,Chris Webber
1997-1999,1998.0,896,0.1811,4.5687,-1.6531,2.9156,0.2129,1.0159,1.2288,4.7816,-0.6372,4.1444,4.0081,-1.5511,2.457,4.221,-0.5352,3.6858,14656.0,14649.0,3,Tim Hardaway
