pool,window,side,feature,coef,se,delta,delta_se,coef_playoff,se_playoff,n_po_rows,lam_delta,side_name,stat,delta_z,sign_convention
era_third,1997-2006,O,fg3m,1.2803,0.2052,0.7113,0.759,1.9917,0.7589,42783,100.0,offense,3PM,0.9373,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg3_miss,-0.0376,0.122,-0.3303,0.4483,-0.3679,0.4487,42783,100.0,offense,3P miss,-0.7367,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg2m,0.8445,0.0647,0.037,0.2124,0.8815,0.2138,42783,100.0,offense,2PM,0.1741,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg2_miss,-0.5867,0.0574,0.133,0.1979,-0.4537,0.1989,42783,100.0,offense,2P miss,0.6719,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ftm,0.627,0.0495,-0.1832,0.1527,0.4438,0.1537,42783,100.0,offense,FTM,-1.2001,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ft_miss,-0.2687,0.1129,0.0445,0.2836,-0.2242,0.2902,42783,100.0,offense,FT miss,0.157,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,orb,0.4157,0.0761,0.1964,0.2472,0.612,0.2481,42783,100.0,offense,ORB,0.7943,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,drb,0.077,0.0444,-0.263,0.1463,-0.186,0.146,42783,100.0,offense,DRB,-1.7979,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ast,0.4905,0.0389,-0.16,0.122,0.3305,0.1225,42783,100.0,offense,AST,-1.3113,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,tov,-0.9449,0.1095,0.1063,0.3566,-0.8386,0.3594,42783,100.0,offense,TOV,0.298,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,stl,0.522,0.1173,0.1944,0.3458,0.7165,0.3474,42783,100.0,offense,STL,0.5623,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,blk,-0.0576,0.0732,0.6246,0.2544,0.567,0.2542,42783,100.0,offense,BLK,2.4554,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,pf,-0.2595,0.051,-0.0052,0.1618,-0.2646,0.1629,42783,100.0,offense,PF,-0.0319,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg3m,0.3338,0.2295,-1.5067,0.7613,-1.1729,0.7703,42783,100.0,defense,3PM,-1.979,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg3_miss,-0.4235,0.1363,0.828,0.4499,0.4045,0.4556,42783,100.0,defense,3P miss,1.8406,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg2m,0.1761,0.0735,0.2718,0.2131,0.4479,0.2179,42783,100.0,defense,2PM,1.2756,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg2_miss,-0.3303,0.0651,-0.0436,0.1984,-0.3738,0.2022,42783,100.0,defense,2P miss,-0.2195,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ftm,0.1379,0.058,-0.015,0.1529,0.1229,0.1571,42783,100.0,defense,FTM,-0.0981,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ft_miss,-0.0514,0.1326,-0.1222,0.284,-0.1735,0.2998,42783,100.0,defense,FT miss,-0.4303,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,orb,-0.3035,0.0879,-0.2438,0.2478,-0.5474,0.2529,42783,100.0,defense,ORB,-0.984,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,drb,0.4216,0.051,0.211,0.1464,0.6325,0.1484,42783,100.0,defense,DRB,1.4407,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ast,0.1165,0.0446,-0.073,0.1221,0.0435,0.1247,42783,100.0,defense,AST,-0.5977,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,tov,-0.5493,0.1275,-0.0631,0.3576,-0.6123,0.3669,42783,100.0,defense,TOV,-0.1764,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,stl,1.5425,0.1376,0.2065,0.3469,1.749,0.3562,42783,100.0,defense,STL,0.5953,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,blk,0.8947,0.0848,-0.4217,0.2549,0.4731,0.2585,42783,100.0,defense,BLK,-1.6543,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,pf,0.1819,0.0583,0.1394,0.1617,0.3213,0.1656,42783,100.0,defense,PF,0.8621,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg3m,1.6141,0.3081,-0.7953,1.0446,0.8188,1.051,42783,100.0,total,3PM,-0.7613,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg3_miss,-0.4611,0.1833,0.4977,0.614,0.0366,0.6186,42783,100.0,total,3P miss,0.8106,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg2m,1.0206,0.0983,0.3088,0.3125,1.3294,0.3161,42783,100.0,total,2PM,0.9882,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg2_miss,-0.917,0.0867,0.0894,0.2885,-0.8276,0.2913,42783,100.0,total,2P miss,0.31,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ftm,0.7649,0.0761,-0.1982,0.2022,0.5667,0.2064,42783,100.0,total,FTM,-0.9803,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ft_miss,-0.32,0.1742,-0.0777,0.3968,-0.3977,0.4129,42783,100.0,total,FT miss,-0.1957,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,orb,0.1121,0.1165,-0.0475,0.3443,0.0647,0.349,42783,100.0,total,ORB,-0.1379,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,drb,0.4986,0.0682,-0.052,0.2096,0.4465,0.2105,42783,100.0,total,DRB,-0.2482,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ast,0.607,0.0596,-0.233,0.167,0.374,0.1695,42783,100.0,total,AST,-1.395,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,tov,-1.4942,0.1678,0.0432,0.4917,-1.451,0.5015,42783,100.0,total,TOV,0.0878,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,stl,2.0645,0.1813,0.401,0.4919,2.4655,0.5001,42783,100.0,total,STL,0.8151,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,blk,0.8371,0.1127,0.2029,0.3568,1.04,0.3592,42783,100.0,total,BLK,0.5687,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,pf,-0.0776,0.0779,0.1342,0.222,0.0567,0.2261,42783,100.0,total,PF,0.6048,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg3m,1.3102,0.2033,0.0021,0.0727,1.3123,0.2149,42783,1000000.0,offense,3PM,0.0288,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg3_miss,-0.0506,0.1209,-0.0057,0.0654,-0.0562,0.1361,42783,1000000.0,offense,3P miss,-0.0869,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg2m,0.8476,0.0641,0.0273,0.0623,0.875,0.0873,42783,1000000.0,offense,2PM,0.4387,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,fg2_miss,-0.5828,0.0569,0.0324,0.0619,-0.5504,0.0821,42783,1000000.0,offense,2P miss,0.5235,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ftm,0.6186,0.0491,-0.0328,0.0633,0.5858,0.0778,42783,1000000.0,offense,FTM,-0.518,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ft_miss,-0.2654,0.1118,0.0121,0.0712,-0.2533,0.1297,42783,1000000.0,offense,FT miss,0.1701,positive = good on both sides; total = offense + defense
