window,feature,stat,coef_defense,coef_offense,coef_total,coef_playoff_defense,coef_playoff_offense,coef_playoff_total,se_defense,se_offense,se_total,se_playoff_defense,se_playoff_offense,se_playoff_total
1997-1999,ast,AST,0.1025,0.4895,0.592,0.3381,0.3629,0.701,0.069,0.0623,0.0937,0.2357,0.2329,0.3328
1997-1999,blk,BLK,0.7855,-0.0295,0.756,0.3698,0.5247,0.8945,0.1274,0.1149,0.1738,0.4342,0.4304,0.6041
1997-1999,drb,DRB,0.5331,0.1644,0.6975,0.9398,0.0772,1.017,0.0776,0.0705,0.1064,0.2683,0.2659,0.3799
1997-1999,fg2_miss,2P miss,-0.539,-0.5196,-1.0586,-0.4654,-0.2273,-0.6927,0.0914,0.0822,0.1231,0.3151,0.3117,0.4522
1997-1999,fg2m,2PM,0.4662,0.7427,1.2089,0.6704,0.9662,1.6366,0.1039,0.0942,0.1409,0.365,0.3613,0.5493
1997-1999,fg3_miss,3P miss,0.015,0.2576,0.2726,0.9498,-0.2083,0.7415,0.1823,0.1657,0.2473,0.6591,0.651,0.8943
1997-1999,fg3m,3PM,-0.5369,0.5405,0.0036,-1.7741,1.373,-0.401,0.309,0.2815,0.4197,1.1569,1.1423,1.5435
1997-1999,ft_miss,FT miss,-0.1415,-0.0634,-0.2049,-0.4295,0.4247,-0.0048,0.1904,0.1707,0.2558,0.5506,0.542,0.7538
1997-1999,ftm,FTM,0.1679,0.5535,0.7214,0.2764,-0.0437,0.2327,0.0883,0.0781,0.1177,0.2851,0.2813,0.3811
1997-1999,orb,ORB,-0.3976,0.2265,-0.1711,-0.4314,-0.0602,-0.4916,0.1281,0.1155,0.1728,0.4596,0.4541,0.6306
1997-1999,pf,PF,0.3089,-0.2599,0.049,1.0486,-0.0997,0.9488,0.0911,0.0822,0.1241,0.3181,0.3138,0.4526
1997-1999,stl,STL,1.694,0.5709,2.2649,0.8452,0.5287,1.3739,0.2015,0.179,0.2714,0.6166,0.6081,0.8367
1997-1999,tov,TOV,-0.7921,-0.8592,-1.6513,-0.7928,-0.7008,-1.4936,0.1866,0.1663,0.251,0.6238,0.6146,0.873
2000-2002,ast,AST,0.1062,0.4692,0.5754,0.2547,0.7748,1.0295,0.0643,0.0578,0.0869,0.2169,0.2148,0.2995
2000-2002,blk,BLK,0.9899,-0.1136,0.8763,0.5231,-0.2604,0.2628,0.1303,0.1185,0.177,0.5407,0.5371,0.7472
2000-2002,drb,DRB,0.5205,0.06,0.5805,0.225,-0.0301,0.1949,0.0727,0.0663,0.1,0.2726,0.2713,0.3995
2000-2002,fg2_miss,2P miss,-0.308,-0.4485,-0.7565,-0.7305,-0.5822,-1.3126,0.0884,0.0788,0.1187,0.3291,0.3251,0.4772
2000-2002,fg2m,2PM,0.1222,0.7995,0.9217,0.4611,1.0396,1.5007,0.0998,0.0891,0.1344,0.3315,0.3268,0.4876
2000-2002,fg3_miss,3P miss,-0.2483,-0.0883,-0.3366,0.6374,-0.2381,0.3993,0.191,0.1738,0.2584,0.7723,0.7635,1.1125
2000-2002,fg3m,3PM,0.1674,1.376,1.5434,-1.0249,2.1486,1.1237,0.3195,0.2913,0.4323,1.2797,1.2666,1.8473
2000-2002,ft_miss,FT miss,-0.2589,-0.2484,-0.5073,-0.2683,0.1338,-0.1346,0.2007,0.1777,0.268,0.5299,0.5183,0.7188
2000-2002,ftm,FTM,0.2628,0.6317,0.8944,0.211,0.7684,0.9795,0.0888,0.0794,0.1188,0.3128,0.3091,0.4253
2000-2002,orb,ORB,-0.195,0.4338,0.2388,0.043,0.84,0.883,0.1232,0.1107,0.1656,0.4595,0.4546,0.6402
