pool,window,side,feature,coef,se,delta,delta_se,coef_playoff,se_playoff,n_po_rows,lam_delta,side_name,stat,delta_z,sign_convention
era,1997-2026,Total,fg3_miss,-0.2074,0.0456,-0.4688,0.1596,-0.6762,0.1571,137830,100.0,total,3P miss,-2.9374,positive = good on both sides; total = offense + defense
era,1997-2026,O,fg3_miss,-0.0151,0.0316,-0.3311,0.1131,-0.3462,0.1113,137830,100.0,offense,3P miss,-2.9268,positive = good on both sides; total = offense + defense
era,1997-2026,Total,tov,-1.2005,0.0628,0.5638,0.2102,-0.6367,0.2088,137830,100.0,total,TOV,2.6821,positive = good on both sides; total = offense + defense
era,1997-2026,D,blk,0.9039,0.0415,-0.3513,0.14,0.5527,0.138,137830,100.0,defense,BLK,-2.5085,positive = good on both sides; total = offense + defense
era,1997-2026,O,fg3m,0.9743,0.051,0.3739,0.1831,1.3482,0.1795,137830,100.0,offense,3PM,2.0423,positive = good on both sides; total = offense + defense
era,1997-2026,O,tov,-0.6902,0.0431,0.3011,0.1506,-0.3891,0.1496,137830,100.0,offense,TOV,1.9985,positive = good on both sides; total = offense + defense
era,1997-2026,O,blk,-0.0723,0.0392,0.2788,0.1396,0.2065,0.1368,137830,100.0,offense,BLK,1.9981,positive = good on both sides; total = offense + defense
era,1997-2026,Total,ftm,0.7414,0.0298,-0.1888,0.0957,0.5526,0.0947,137830,100.0,total,FTM,-1.9726,positive = good on both sides; total = offense + defense
era,1997-2026,D,tov,-0.5103,0.0464,0.2627,0.1512,-0.2476,0.1511,137830,100.0,defense,TOV,1.7379,positive = good on both sides; total = offense + defense
era,1997-2026,O,ftm,0.6278,0.0204,-0.1131,0.0685,0.5147,0.0676,137830,100.0,offense,FTM,-1.652,positive = good on both sides; total = offense + defense
era,1997-2026,D,fg2_miss,-0.2585,0.0214,-0.109,0.0682,-0.3675,0.0682,137830,100.0,defense,2P miss,-1.5984,positive = good on both sides; total = offense + defense
era,1997-2026,Total,fg3m,1.0785,0.074,0.4088,0.2558,1.4873,0.2514,137830,100.0,total,3PM,1.598,positive = good on both sides; total = offense + defense
era,1997-2026,D,fg2m,0.0555,0.0237,0.0954,0.0777,0.1509,0.0772,137830,100.0,defense,2PM,1.2275,positive = good on both sides; total = offense + defense
era,1997-2026,D,fg3_miss,-0.1923,0.0335,-0.1377,0.1135,-0.33,0.1123,137830,100.0,defense,3P miss,-1.2133,positive = good on both sides; total = offense + defense
era,1997-2026,O,fg2m,0.6442,0.0223,-0.086,0.0775,0.5582,0.0765,137830,100.0,offense,2PM,-1.1101,positive = good on both sides; total = offense + defense
era,1997-2026,D,ftm,0.1136,0.0218,-0.0757,0.0687,0.0379,0.0682,137830,100.0,defense,FTM,-1.1027,positive = good on both sides; total = offense + defense
era,1997-2026,D,ft_miss,-0.0492,0.0536,0.1538,0.1569,0.1046,0.1557,137830,100.0,defense,FT miss,0.9806,positive = good on both sides; total = offense + defense
era,1997-2026,D,stl,1.4467,0.0622,0.1802,0.1888,1.627,0.1882,137830,100.0,defense,STL,0.9546,positive = good on both sides; total = offense + defense
era,1997-2026,Total,fg2_miss,-0.7497,0.0289,-0.0861,0.0976,-0.8359,0.0966,137830,100.0,total,2P miss,-0.8829,positive = good on both sides; total = offense + defense
era,1997-2026,O,drb,0.0268,0.0177,0.0528,0.0643,0.0796,0.063,137830,100.0,offense,DRB,0.8218,positive = good on both sides; total = offense + defense
era,1997-2026,Total,pf,-0.2544,0.0356,0.092,0.1292,-0.1624,0.127,137830,100.0,total,PF,0.7121,positive = good on both sides; total = offense + defense
era,1997-2026,Total,ft_miss,-0.4191,0.0726,0.151,0.2141,-0.268,0.2112,137830,100.0,total,FT miss,0.7055,positive = good on both sides; total = offense + defense
era,1997-2026,D,pf,0.0474,0.0258,0.0581,0.0906,0.1056,0.0896,137830,100.0,defense,PF,0.6417,positive = good on both sides; total = offense + defense
era,1997-2026,O,orb,0.5051,0.0299,-0.0614,0.1039,0.4437,0.1027,137830,100.0,offense,ORB,-0.5908,positive = good on both sides; total = offense + defense
era,1997-2026,Total,ast,0.5263,0.0237,0.0418,0.0813,0.5681,0.0801,137830,100.0,total,AST,0.5134,positive = good on both sides; total = offense + defense
era,1997-2026,O,stl,0.5253,0.0579,-0.0899,0.1883,0.4355,0.1863,137830,100.0,offense,STL,-0.4773,positive = good on both sides; total = offense + defense
