player_id,window,poss_off,poss_def,prior_off,prior_def,boost_off,boost_def,u_off,u_def,prior_total,boost_total,u_total,rating_off,rating_def,rating_total,player_name
2,1997-1999,2779.0,2784.0,1.0493,-1.3572,-0.7015,0.3769,0.1436,0.4875,-0.3078,-0.3246,0.631,0.4914,-0.4928,-0.0014,Byron Scott
3,1997-1999,5857.0,5848.0,-1.1234,1.1862,0.0576,0.3748,-0.1936,1.8376,0.0628,0.4324,1.644,-1.2594,3.3986,2.1392,Grant Long
7,1997-1999,3510.0,3494.0,-3.8659,0.2443,-0.3235,0.3136,0.4738,0.7257,-3.6216,-0.0098,1.1996,-3.7155,1.2837,-2.4319,Dan Schayes
9,1997-1999,654.0,650.0,-2.4393,-1.1158,0.3735,0.7369,-0.0964,-0.2804,-3.555,1.1105,-0.3768,-2.1621,-0.6593,-2.8214,Sedale Threatt
12,1997-1999,78.0,82.0,-7.4909,-0.6401,1.4237,-0.5243,-0.0479,-0.0227,-8.1311,0.8994,-0.0706,-6.1151,-1.1871,-7.3022,Chris King
15,1997-1999,7221.0,7195.0,0.7653,-1.7964,-0.2011,-0.0895,0.223,0.528,-1.0311,-0.2906,0.751,0.7872,-1.3579,-0.5707,Eric Piatkowski
17,1997-1999,9146.0,9126.0,3.9658,0.1715,0.0136,0.4105,-0.2792,0.6584,4.1373,0.4241,0.3793,3.7002,1.2404,4.9406,Clyde Drexler
21,1997-1999,6928.0,6945.0,2.9778,0.8508,-1.5085,0.173,-0.2163,0.3903,3.8285,-1.3354,0.174,1.253,1.4141,2.6671,Greg Anthony
22,1997-1999,8958.0,8882.0,-0.5864,1.2853,0.0704,-0.2252,0.4875,0.1215,0.6989,-0.1548,0.609,-0.0285,1.1816,1.1531,Rik Smits
23,1997-1999,10102.0,10104.0,-1.0115,1.5522,1.638,-0.383,0.0817,-0.7603,0.5407,1.2551,-0.6786,0.7082,0.4089,1.1172,Dennis Rodman
26,1997-1999,7636.0,7616.0,-2.3344,0.1491,0.1094,0.5984,-0.1628,0.6353,-2.1853,0.7078,0.4726,-2.3877,1.3828,-1.005,Luc Longley
28,1997-1999,5513.0,5497.0,-3.1516,-0.014,-0.1621,0.0486,-0.18,-0.0392,-3.1656,-0.1135,-0.2192,-3.4937,-0.0045,-3.4983,Doug West
29,1997-1999,5587.0,5598.0,-4.966,4.6599,0.2227,-1.2127,0.2016,-0.3111,-0.3061,-0.99,-0.1095,-4.5417,3.1361,-1.4056,Jim McIlvaine
31,1997-1999,749.0,749.0,-3.817,1.2382,0.0539,-0.0148,0.0046,-1.0032,-2.5789,0.0392,-0.9986,-3.7585,0.2202,-3.5383,Lorenzo Williams
32,1997-1999,1444.0,1444.0,-2.4017,2.2185,0.7008,0.0706,-0.0561,-0.7294,-0.1832,0.7714,-0.7856,-1.757,1.5597,-0.1973,Clifford Rozier
