candidate,side,spearman,pearson,w_spearman,spread_ratio,selection
what ships,off,0.8505239933024542,0.8950999583160197,0.8563267422238522,1.0491627909184307,no selection
what ships,def,0.7545952905574652,0.7741461080500169,0.8069059440359281,2.130635619628109,no selection
what ships,total,0.7839760747881256,0.7966813613168502,0.7994436838111055,1.403512082466913,no selection
box prior alone,off,0.8293752613000618,0.8692382301982337,0.8318320984574893,0.9820219824499318,no selection
box prior alone,def,0.5063951685402834,0.5331123991870341,0.5607938520422258,1.837412338252205,no selection
box prior alone,total,0.6694295128158497,0.6997598906305403,0.6773346917943284,1.2821359700605484,no selection
pure on-court RAPM,off,0.7652910301343339,0.810825364312092,0.7642984991189501,0.3838183839207704,"penalty inherited, chosen on stint MSE"
pure on-court RAPM,def,0.876943744323253,0.8860655185820756,0.8924970266773293,1.1940608192603688,"penalty inherited, chosen on stint MSE"
pure on-court RAPM,total,0.7354909344153706,0.7383916453205563,0.7366012002196415,0.6773073789979316,"penalty inherited, chosen on stint MSE"
reliability blend,off,0.8801192714910364,0.9132834650614962,0.8772793105355278,0.9164182279656553,leave-one-team-out
reliability blend,def,0.8770713457782697,0.8879618272080572,0.8954806276295546,0.8895848125725982,leave-one-team-out
reliability blend,total,0.8843545995247448,0.8993554564924556,0.8849920967283527,0.8979238852995031,leave-one-team-out
