side,input,coef_std,coef_raw,window,n
O,share,1.1682697902360069,7.202568211780594,1997-1999,4825
O,share2,0.45194858582836217,3.0328575013434476,1997-1999,4825
O,gs_pct,-1.8317465067024892,-5.308389848664771,1997-1999,4825
O,gs_pct2,1.804851908357333,4.609155218047487,1997-1999,4825
O,age,11.052705856243547,2.6754657115704883,1997-1999,4825
O,age2,-19.82225963491944,-0.08500339238798423,1997-1999,4825
O,age3,8.92179145121898,0.0008802485740116172,1997-1999,4825
D,share,-0.6429096542001731,-3.9617739364075497,1997-1999,4828
D,share2,1.550367969552717,10.402690769212029,1997-1999,4828
D,gs_pct,-0.23023654944875271,-0.6670546830757721,1997-1999,4828
D,gs_pct2,-0.9117921965687035,-2.3284486549876835,1997-1999,4828
D,age,-10.191060923076217,-2.4668868234403116,1997-1999,4828
D,age2,18.564230025967202,0.07960847560449472,1997-1999,4828
D,age3,-8.636540302743096,-0.000852105648514887,1997-1999,4828
O,share,1.1381784142687101,7.053708109684554,2000-2002,4800
O,share2,0.4117328703741385,2.787703064381592,2000-2002,4800
O,gs_pct,-1.9516633264661,-5.661659447029896,2000-2002,4800
O,gs_pct2,1.9818306292621581,5.068640304451643,2000-2002,4800
O,age,8.839139114819462,2.152865190516798,2000-2002,4800
O,age2,-15.274817384563427,-0.06604168178926105,2000-2002,4800
O,age3,6.606561335153843,0.0006586908891034324,2000-2002,4800
D,share,-0.5229865746878615,-3.2396259787454107,2000-2002,4803
D,share2,1.4424953022817868,9.765438638023102,2000-2002,4803
D,gs_pct,-0.30440743660600655,-0.8828478473927168,2000-2002,4803
D,gs_pct2,-0.8606681463871226,-2.2011810443016535,2000-2002,4803
D,age,-9.288950176582508,-2.2624262335301757,2000-2002,4803
D,age2,16.480716591535863,0.07125550264153188,2000-2002,4803
D,age3,-7.470815385883211,-0.0007448591915995551,2000-2002,4803
O,share,1.274719423772006,7.855188980156313,2003-2005,4801
O,share2,0.28103697929541505,1.8852702204788065,2003-2005,4801
O,gs_pct,-1.9059310864494607,-5.512569983337527,2003-2005,4801
O,gs_pct2,1.916106572917426,4.888151794517239,2003-2005,4801
O,age,10.64251068527615,2.569860509751519,2003-2005,4801
O,age2,-19.246582970648724,-0.08232605280911805,2003-2005,4801
O,age3,8.772822408422766,0.0008637592933129727,2003-2005,4801
D,share,-0.5703746243588886,-3.512985378412949,2003-2005,4805
D,share2,1.4503124236090716,9.727793742055297,2003-2005,4805
D,gs_pct,-0.2884611456326091,-0.8341057331492399,2003-2005,4805
D,gs_pct2,-0.8583295853544018,-2.1896201268768585,2003-2005,4805
D,age,-10.899762984632849,-2.6319646488004156,2003-2005,4805
D,age2,19.97272351777697,0.08543162982145894,2003-2005,4805
D,age3,-9.345187997450026,-0.0009201099921390652,2003-2005,4805
O,share,1.3256654218864978,8.157088658443252,2006-2008,4789
O,share2,0.22835061024210032,1.5262320670556715,2006-2008,4789
O,gs_pct,-1.8528146232753984,-5.3687550308276455,2006-2008,4789
O,gs_pct2,1.864665368206108,4.7675449623851085,2006-2008,4789
O,age,11.812639057614655,2.832394810710867,2006-2008,4789
O,age2,-21.314162328080645,-0.09032814493173388,2006-2008,4789
O,age3,9.665402541517766,0.0009405529412423358,2006-2008,4789
D,share,-0.6745021707519994,-4.147936128992355,2006-2008,4794
D,share2,1.5533782319851643,10.380611226198155,2006-2008,4794
D,gs_pct,-0.2260668135213603,-0.6548814432761403,2006-2008,4794
D,gs_pct2,-0.89788037693058,-2.2956432091162573,2006-2008,4794
D,age,-11.408172856147548,-2.73533246104445,2006-2008,4794
D,age2,20.677665314625806,0.08762765758253843,2006-2008,4794
D,age3,-9.534714226489072,-0.0009278003450709991,2006-2008,4794
O,share,1.2389882263712257,7.578782802552626,2009-2011,4795
O,share2,0.34636742650024377,2.2913263240781587,2009-2011,4795
O,gs_pct,-1.9465440520097714,-5.641217764301588,2009-2011,4795
O,gs_pct2,1.968849561695343,5.030144162003114,2009-2011,4795
O,age,11.438164591005156,2.7569629994307627,2009-2011,4795
O,age2,-20.705720400241145,-0.08822416361953564,2009-2011,4795
O,age3,9.413681080020432,0.0009208891345759151,2009-2011,4795
D,share,-0.6002462041443448,-3.6699452095288057,2009-2011,4798
D,share2,1.5331814164628288,10.141176905684025,2009-2011,4798
D,gs_pct,-0.2404673122330791,-0.6966990790842253,2009-2011,4798
D,gs_pct2,-0.9280107207692712,-2.370854115280423,2009-2011,4798
D,age,-7.9648273581413385,-1.919738421821961,2009-2011,4798
D,age2,14.084054236248345,0.06000869390115792,2009-2011,4798
D,age3,-6.3641377628263305,-0.0006225514375310814,2009-2011,4798
O,share,1.262557260152967,7.67348199626073,2012-2014,4764
O,share2,0.3177751182389936,2.0810174556147514,2012-2014,4764
O,gs_pct,-1.9402061615838664,-5.634956698298477,2012-2014,4764
O,gs_pct2,1.9663760382403985,5.027191495085981,2012-2014,4764
O,age,11.127880239714473,2.683583021591032,2012-2014,4764
O,age2,-19.978652476454005,-0.0852889000461801,2012-2014,4764
O,age3,8.988090877876468,0.0008824012212336255,2012-2014,4764
D,share,-0.5696726750848002,-3.460664741929946,2012-2014,4767
D,share2,1.4584852121841994,9.549858372246792,2012-2014,4767
D,gs_pct,-0.30389366903524967,-0.8823648789117426,2012-2014,4767
D,gs_pct2,-0.8207115946230372,-2.0981150416183074,2012-2014,4767
D,age,-9.480525488698154,-2.2862928654418293,2012-2014,4767
D,age2,17.06793025860078,0.07286178737448439,2012-2014,4767
D,age3,-7.83305820053552,-0.0007689866177890815,2012-2014,4767
O,share,1.3361932407119834,8.071553695365903,2015-2017,4752
O,share2,0.2613612290472847,1.6983174914544945,2015-2017,4752
O,gs_pct,-1.8951257995902575,-5.512218556778814,2015-2017,4752
O,gs_pct2,1.8730858375748214,4.7943251567734,2015-2017,4752
O,age,7.769997953001915,1.8729571852573483,2015-2017,4752
O,age2,-13.604745377695105,-0.05803241001194042,2015-2017,4752
O,age3,5.967229710885773,0.0005852808579651762,2015-2017,4752
D,share,-0.5085340495597166,-3.0702189072392505,2015-2017,4756
D,share2,1.425838114632639,9.263495878951012,2015-2017,4756
D,gs_pct,-0.3172971119045911,-0.9226185927993995,2015-2017,4756
D,gs_pct2,-0.8299700750507368,-2.124270294302978,2015-2017,4756
D,age,-9.627930863181364,-2.320755435014789,2015-2017,4756
D,age2,17.364827989351692,0.07406886171033601,2015-2017,4756
D,age3,-8.016110689453237,-0.0007862055680807179,2015-2017,4756
O,share,1.3298815418966345,8.028884652601914,2018-2020,4725
O,share2,0.31079984950567724,2.015794055911869,2018-2020,4725
O,gs_pct,-1.979068997778408,-5.754231761315898,2018-2020,4725
O,gs_pct2,1.9388230638566468,4.960532042962893,2018-2020,4725
O,age,11.813508587849803,2.8499686076450303,2018-2020,4725
O,age2,-21.891728230638943,-0.09328912948322486,2018-2020,4725
O,age3,10.230498686817686,0.001000894477975311,2018-2020,4725
D,share,-0.6563077838285677,-3.9601786465313227,2018-2020,4729
D,share2,1.5818054350213169,10.257658192561689,2018-2020,4729
D,gs_pct,-0.18305986752197642,-0.5320936587527473,2018-2020,4729
D,gs_pct2,-0.9660052791941934,-2.4714127894748703,2018-2020,4729
D,age,-10.256216016877213,-2.4741980878972756,2018-2020,4729
D,age2,18.72982012727779,0.07981170277490553,2018-2020,4729
