,lam_30,lam_100,lam_300,max_rel_diff,side
share,7.967671899906872,7.663685950843455,6.7918926374304345,0.14756873491366784,O
share2,2.2317153481794736,2.3408193336942813,2.6349142664615592,0.15302164606044039,O
gs_pct,-5.60995537212561,-5.532408465659031,-5.303379473052408,0.0546485450840654,O
gs_pct2,4.8815098939962525,4.831819227649822,4.701616765613071,0.03685194382263386,O
age,2.471298627906796,2.465183896853683,2.3985402956645014,0.02944133558797027,O
age2,-0.07857000176209387,-0.07830519925083705,-0.075950670775174,0.03333754522306204,O
age3,0.0008150568139400101,0.0008118236697793103,0.0007854065462664539,0.03637816059745067,O
share,-3.6419084717079633,-3.727556118597663,-3.6173531777038854,0.029564394844104166,D
share2,10.17038565385047,10.055349990703315,9.391045033640697,0.07662842361486237,D
gs_pct,-0.8963335817259594,-0.7582081926133605,-0.5073978231515776,0.4339185393739863,D
gs_pct2,-2.239485135528794,-2.2827656870183644,-2.3012130400729114,0.026824072117269712,D
age,-2.5033706289324122,-2.407104381202863,-2.1709828227815695,0.13277610686540367,D
age2,0.08029289835448691,0.0771939832756706,0.06938671527648294,0.13582998374095337,D
age3,-0.000854700510137372,-0.0008214736163434873,-0.0007360134170630811,0.13886395487843442,D
