window,window_mid,tau2_O_zero,tau2_D_zero,lam_zero,ratio_zero,tau2_O_plugin,tau2_D_plugin,lam_plugin,ratio_plugin,share_O,share_D
1997-1999,1998.0,6.610205370775848,4.406803580517232,1762.4749935388888,1.5,0.32118053973682537,2.6765044978068784,36248.50224188622,0.12,0.9514114128500779,0.39264266062597375
2000-2002,2001.0,6.628163435665155,4.41877562377677,1762.4749935388888,1.5,0.4144896787020979,1.6579587148083916,28174.71130453661,0.25,0.937465380459421,0.6247922827565255
2003-2005,2004.0,6.686323407237827,4.457548938158552,1762.4749935388888,1.5,0.2525207683000115,2.1043397358334297,46635.931796343146,0.12,0.9622332404641597,0.527915505801996
2006-2008,2007.0,6.88225640088035,4.5881709339202335,1762.4749935388888,1.5,0.26000842211037023,2.166736850919752,46635.931796343146,0.12,0.9622204685548897,0.5277558569361223
2009-2011,2010.0,6.9226614145986565,3.4613307072993282,1762.4749935388888,2.0,0.43314830712651897,1.3125706276561182,28174.71130453661,0.33,0.9374303781182933,0.6207901704138985
2012-2014,2013.0,7.049237077229479,4.699491384819653,1762.4749935388888,1.5,0.5674011545066973,2.269604618026789,21899.231913000494,0.25,0.9195088563073694,0.5170531378442165
2015-2017,2016.0,7.293963224932552,4.862642149955035,1762.4749935388888,1.5,0.45622241048281503,2.53456894712675,28174.71130453661,0.18,0.9374520550195078,0.4787671251625647
2018-2020,2019.0,5.956641813723139,3.9710945424820925,2267.532684328724,1.5,0.6169360535584065,1.869503192601232,21899.231913000494,0.33,0.8964288817673935,0.5292221898517888
2021-2023,2022.0,6.099546613774978,3.049773306887489,2267.532684328724,2.0,0.6313270523418648,1.913112279823833,21899.231913000494,0.33,0.8964960689182864,0.3727034479896145
2024-2026,2025.0,6.178466192818358,6.178466192818358,2267.532684328724,1.0,0.30041388418611353,2.5034490348842797,46635.931796343146,0.12,0.9513772715086951,0.5948105959057921
