window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,prior_off_po,prior_total_po,rapm_mm_off_po,rapm_mm_total_po,prior_def_po,rapm_mm_def_po,rating_off_po,rating_def_po,rating_total_po,rating_off_raw,rating_def_raw,rating_off_po_raw,rating_def_po_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1643007,Taelon Peter,1056.0,1057.0,0.054,-1.891,-0.0,-1.891,-0.699,-0.215,-0.914,-0.261,-0.431,-0.692,-0.261,-0.431,-0.692,-2.152,-0.431,-2.584,-1.848,-0.435,-2.283,-2.421,-2.421,-2.682,-3.114,-0.0,-0.431,-2.231,-0.435,-2.666,-2.152,-0.431,-2.682,-0.431,taelon peter,Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,-0.897,-1.15,0.253,391.0,426.0,35.0,-0.856,-1.16,0.304,400.0,433.5,33.5,-0.49,-0.488,-0.001,313.0,318.5,5.5,-0.563,492.0,0.732,0.293,3.585,2.927,3.0,guard,<1000
2024-2026,2025.0,1630658,Colin Castleton,1061.0,1069.0,0.055,-2.621,-0.0,-2.621,0.264,0.252,0.516,-0.169,-0.596,-0.765,-0.169,-0.596,-0.765,-2.79,-0.596,-3.387,-2.308,-0.596,-2.905,-2.723,-2.723,-2.892,-3.489,-0.0,-0.596,-2.382,-0.596,-2.979,-2.79,-0.596,-2.892,-0.596,colin castleton,Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,-1.156,-0.74,-0.416,426.0,370.0,-56.0,-1.112,-0.751,-0.361,426.0,379.5,-46.5,-0.617,-0.305,-0.312,339.0,280.0,-59.0,5.563,508.0,4.323,0.709,5.74,2.268,0.142,big,<1000
2024-2026,2025.0,1642854,Asa Newell,1063.0,1079.0,0.055,-0.12,-0.0,-0.12,0.169,0.247,0.415,-0.007,-0.141,-0.148,-0.007,-0.141,-0.148,-0.127,-0.141,-0.269,-0.118,-0.145,-0.262,0.412,0.412,0.405,0.264,-0.0,-0.141,0.39,-0.145,0.245,-0.127,-0.141,0.405,-0.141,asa newell,Asa Newell,Atlanta Hawks,-0.7,-0.4,-1.1,-0.056,-0.288,0.232,221.0,271.0,50.0,0.107,-0.138,0.244,184.0,236.5,52.5,-0.259,-0.397,0.138,275.0,298.5,23.5,3.586,502.0,3.155,1.076,3.729,1.865,2.08,big,<1000
2024-2026,2025.0,1642353,Cam Christie,1071.0,1072.0,0.055,-3.062,-0.0,-3.062,0.294,-0.169,0.124,-0.013,0.354,0.341,-0.013,0.354,0.341,-3.075,0.354,-2.721,-2.514,0.374,-2.14,-4.445,-4.445,-4.458,-4.104,-0.0,0.354,-3.615,0.374,-3.241,-3.075,0.354,-4.458,0.354,cam christie,Cam Christie,Los Angeles Clippers,-2.6,0.8,-1.7,-0.837,-0.535,-0.303,383.0,320.5,-62.5,-1.226,-1.109,-0.117,440.0,428.5,-11.5,0.153,0.702,-0.549,195.0,106.0,-89.0,1.495,537.0,1.475,0.268,4.559,2.48,0.939,wing,<1000
2024-2026,2025.0,1631466,Nate Williams,1083.0,1093.0,0.056,-1.752,-0.0,-1.752,0.513,-0.033,0.48,0.273,-1.044,-0.77,0.273,-1.044,-0.77,-1.479,-1.044,-2.522,-1.306,-1.017,-2.323,-1.874,-1.874,-1.601,-2.644,-0.0,-1.044,-1.407,-1.017,-2.425,-1.479,-1.044,-1.601,-1.044,nate williams,Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,-0.913,-1.068,0.155,396.0,413.5,17.5,-0.554,-0.598,0.043,337.0,341.5,4.5,-0.951,-1.312,0.361,395.0,441.0,46.0,1.901,517.0,2.576,0.348,2.019,2.089,1.462,wing,<1000
2024-2026,2025.0,1643016,Bez Mbeng,1083.0,1093.0,0.056,-2.654,-0.0,-2.654,0.664,-0.073,0.591,-0.137,-1.135,-1.272,-0.137,-1.135,-1.272,-2.79,-1.135,-3.925,-2.309,-1.099,-3.408,-3.44,-3.44,-3.577,-4.712,-0.0,-1.135,-2.901,-1.099,-4.0,-2.79,-1.135,-3.577,-1.135,bez mbeng,Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,-1.365,-1.191,-0.174,451.0,432.5,-18.5,-1.112,-1.058,-0.054,427.0,423.0,-4.0,-1.017,-0.854,-0.162,403.0,385.5,-17.5,0.095,493.0,1.314,0.365,2.848,4.527,0.438,wing,<1000
2024-2026,2025.0,1630619,Moussa Cisse,1113.0,1116.0,0.057,-1.683,-0.0,-1.683,-0.256,-1.204,-1.46,0.213,-0.093,0.12,0.213,-0.093,0.12,-1.47,-0.093,-1.563,-1.299,-0.096,-1.394,-0.635,-0.635,-0.423,-0.516,-0.0,-0.093,-0.389,-0.096,-0.485,-1.47,-0.093,-0.423,-0.093,moussa cisse,Moussa Cisse,Dallas Mavericks,-1.6,0.0,-1.5,-0.527,-0.452,-0.075,329.0,299.0,-30.0,-0.55,-0.598,0.047,335.0,341.5,6.5,-0.22,-0.03,-0.189,267.0,223.5,-43.5,11.384,530.0,6.045,3.057,8.626,0.611,0.0,big,<1000
2024-2026,2025.0,1642878,Tyrese Proctor,1114.0,1116.0,0.057,-0.106,-0.0,-0.106,-0.701,0.298,-0.403,0.034,-0.02,0.014,0.034,-0.02,0.014,-0.073,-0.02,-0.093,-0.066,-0.02,-0.086,-0.417,-0.417,-0.384,-0.403,-0.0,-0.02,-0.354,-0.02,-0.374,-0.073,-0.02,-0.384,-0.02,tyrese proctor,Tyrese Proctor,Cleveland Cavaliers,0.1,-0.1,0.0,0.017,0.163,-0.146,209.0,185.0,-24.0,0.135,0.271,-0.136,175.0,153.5,-21.5,-0.16,-0.122,-0.038,259.0,243.0,-16.0,-1.869,549.0,0.721,0.0,3.475,4.852,3.016,guard,<1000
2024-2026,2025.0,1642355,Bronny James,1119.0,1127.0,0.057,-3.027,-0.0,-3.027,-0.13,-0.009,-0.139,-0.098,-1.278,-1.376,-0.098,-1.278,-1.376,-3.125,-1.278,-4.403,-2.55,-1.225,-3.774,-2.954,-2.954,-3.053,-4.33,-0.0,-1.278,-2.498,-1.225,-3.722,-3.125,-1.278,-3.053,-1.278,bronny james,Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,-1.518,-1.479,-0.039,460.0,457.0,-3.0,-1.246,-1.365,0.118,442.0,452.5,10.5,-1.116,-0.854,-0.262,419.0,385.5,-33.5,-1.498,560.0,0.579,0.45,2.057,4.693,1.993,guard,<1000
2024-2026,2025.0,1630623,Tyson Etienne,1122.0,1119.0,0.058,-0.716,-0.0,-0.716,-1.034,0.757,-0.277,-0.223,-1.438,-1.661,-0.223,-1.438,-1.661,-0.939,-1.438,-2.377,-0.847,-1.365,-2.213,-0.882,-0.882,-1.105,-2.543,-0.0,-1.438,-0.992,-1.365,-2.357,-0.939,-1.438,-1.105,-1.438,tyson etienne,Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,-0.868,-1.274,0.406,386.0,440.5,54.5,-0.299,-0.649,0.349,271.0,352.0,81.0,-1.227,-1.678,0.451,433.0,461.0,28.0,-2.102,531.0,0.542,0.068,1.898,3.525,3.797,guard,<1000
