season,r2,r3,rft,pts,pts1,chance1,r2_ok,r3_ok,rft_ok,pts1_ok,chance1_ok,pts_ok,target,sd_pts,sd_x
2024,1.00652,1.01008,1.00248,1.0072,1.00024,1.02281,True,True,True,True,False,False,xshoot,63.55309,38.48398
2025,1.00408,1.00882,1.00628,1.00615,0.99905,1.02495,True,True,True,True,False,False,xshoot,63.55309,38.48398
2026,1.00193,1.00847,1.00078,1.00407,0.99835,1.02034,True,True,True,True,False,True,xshoot,63.55309,38.48398
2024,1.00237,0.99854,1.00248,1.00118,1.00229,1.01894,True,True,True,True,True,True,xshoot_flat,63.55309,36.22673
2025,1.00606,1.01193,1.00628,1.00824,1.00836,1.01483,True,True,True,True,True,False,xshoot_flat,63.55309,36.22673
2026,0.99675,1.01349,1.00078,1.00324,1.00434,1.01408,True,True,True,True,True,True,xshoot_flat,63.55309,36.22673
2024,1.00588,1.00644,1.00531,1.00605,0.99898,1.02375,True,True,True,True,False,False,xshoot_x1,63.55309,38.48441
2025,1.00491,1.00642,1.00442,1.00544,0.99827,1.02553,True,True,True,True,False,False,xshoot_x1,63.55309,38.48441
2026,1.00498,1.00648,1.00418,1.00543,0.9997,1.01841,True,True,True,True,True,False,xshoot_x1,63.55309,38.48441
2024,1.00652,1.01008,1.00248,1.00178,1.00024,1.02281,True,True,True,True,False,True,xcont,63.55309,28.07915
2025,1.00408,1.00882,1.00628,1.00208,0.99905,1.02495,True,True,True,True,False,True,xcont,63.55309,28.07915
2026,1.00193,1.00847,1.00078,1.00005,0.99835,1.02034,True,True,True,True,False,True,xcont,63.55309,28.07915
2024,1.00652,1.01008,1.00248,1.00113,1.00024,1.02281,True,True,True,True,False,True,xcont_lineup,63.55309,28.17013
2025,1.00408,1.00882,1.00628,1.00189,0.99905,1.02495,True,True,True,True,False,True,xcont_lineup,63.55309,28.17013
2026,1.00193,1.00847,1.00078,0.99967,0.99835,1.02034,True,True,True,True,False,True,xcont_lineup,63.55309,28.17013
