held_out,k,train,method,lam,n,mse,base,calib,calib_side,scale,scale_off,scale_def,covered,tg,tg_base,tg_n
1998,2,"1997,1999","1 RAPM, no prior",18351.8,218711.0,3450.85939,3469.24416,3450.62199,3448.81179,1.12728,1.70271,0.90915,0.9385,118.63632,130.93198,218711.0
1998,2,"1997,1999","2 PI-RAPM, team-priced",18351.8,218711.0,3440.9631,3469.24416,3439.35632,3439.33863,0.81178,0.82848,0.78933,0.9385,116.12888,130.93198,218711.0
1998,2,"1997,1999",3 hybrid,18351.8,218711.0,3442.95021,3469.24416,3442.67562,3442.66743,0.90772,0.89653,0.92981,0.9385,116.10562,130.93198,218711.0
1998,2,"1997,1999",4 hybrid + xPTS(ft),18351.8,218711.0,3442.49499,3469.24416,3442.29569,3442.26376,0.92081,0.89883,0.9652,0.9385,116.01056,130.93198,218711.0
1998,4,"1997,1999,2000,2001","1 RAPM, no prior",18351.8,218711.0,3447.41939,3469.24416,3447.20341,3445.26115,1.10987,1.58259,0.88019,0.94989,117.57314,130.93198,218711.0
1998,4,"1997,1999,2000,2001","2 PI-RAPM, team-priced",18351.8,218711.0,3439.7281,3469.24416,3438.68805,3438.61919,0.84424,0.87875,0.79893,0.94989,115.56503,130.93198,218711.0
1998,4,"1997,1999,2000,2001",3 hybrid,18351.8,218711.0,3441.29369,3469.24416,3441.1387,3441.11065,0.93087,0.95355,0.89383,0.94989,115.7397,130.93198,218711.0
1998,4,"1997,1999,2000,2001",4 hybrid + xPTS(ft),18351.8,218711.0,3440.8913,3469.24416,3440.80311,3440.79468,0.94725,0.95965,0.92648,0.94989,115.5571,130.93198,218711.0
1999,2,"1998,2000","1 RAPM, no prior",18351.8,131629.0,3526.41493,3547.27005,3525.90098,3525.19008,1.18355,1.48665,1.03438,0.92955,113.0997,125.09152,131629.0
1999,2,"1998,2000","2 PI-RAPM, team-priced",18351.8,131629.0,3519.84989,3547.27005,3518.61654,3518.61307,0.82818,0.82041,0.8384,0.92955,112.49277,125.09152,131629.0
1999,2,"1998,2000",3 hybrid,18351.8,131629.0,3521.07261,3547.27005,3520.93155,3520.78825,0.93181,0.88377,1.02464,0.92955,112.74621,125.09152,131629.0
1999,2,"1998,2000",4 hybrid + xPTS(ft),18351.8,131629.0,3520.62536,3547.27005,3520.5382,3520.35571,0.94598,0.89109,1.05175,0.92955,112.47614,125.09152,131629.0
1999,4,"1997,1998,2000,2001","1 RAPM, no prior",18351.8,131629.0,3522.48633,3547.27005,3522.32962,3521.98768,1.08609,1.26198,0.99751,0.94318,112.09987,125.09152,131629.0
1999,4,"1997,1998,2000,2001","2 PI-RAPM, team-priced",18351.8,131629.0,3517.6122,3547.27005,3516.42866,3516.4139,0.83619,0.81936,0.85504,0.94318,111.5364,125.09152,131629.0
1999,4,"1997,1998,2000,2001",3 hybrid,18351.8,131629.0,3518.4283,3547.27005,3518.22594,3518.1269,0.92296,0.87888,0.98483,0.94318,111.86183,125.09152,131629.0
1999,4,"1997,1998,2000,2001",4 hybrid + xPTS(ft),18351.8,131629.0,3518.05012,3547.27005,3517.89747,3517.79229,0.93276,0.88681,0.99644,0.94318,111.68101,125.09152,131629.0
2000,2,"1999,2001","1 RAPM, no prior",18351.8,225508.0,3367.80465,3385.27407,3367.37326,3366.04636,1.18377,1.65399,0.97097,0.93622,105.68562,117.56314,225508.0
2000,2,"1999,2001","2 PI-RAPM, team-priced",18351.8,225508.0,3361.43823,3385.27407,3360.09214,3360.03855,0.81221,0.84405,0.77137,0.93622,107.11446,117.56314,225508.0
2000,2,"1999,2001",3 hybrid,18351.8,225508.0,3362.55975,3385.27407,3362.43629,3362.42578,0.93151,0.91785,0.95868,0.93622,106.10089,117.56314,225508.0
2000,2,"1999,2001",4 hybrid + xPTS(ft),18351.8,225508.0,3362.64409,3385.27407,3362.53984,3362.51696,0.93658,0.91662,0.97797,0.93622,106.36303,117.56314,225508.0
2000,4,"1998,1999,2001,2002","1 RAPM, no prior",18351.8,225508.0,3364.40123,3385.27407,3364.0572,3363.59933,1.14592,1.3399,1.00772,0.959,104.98643,117.56314,225508.0
