k,c_def,target,stint,game,sd_off,sd_def
2,0.0,pts,3627.97038,113.31408,1.98014,1.00064
2,0.0,xpts_ft,3627.82683,113.23951,1.97597,0.98994
2,0.0,xshot_add,3628.94589,113.71254,1.91006,0.73316
2,0.0,xshot_mult,3628.95395,113.61197,1.89829,0.71507
2,0.5,pts,3626.55528,112.88665,1.98206,1.36218
2,0.5,xpts_ft,3626.40621,112.80801,1.97787,1.35378
2,0.5,xshot_add,3627.08041,113.04581,1.91151,1.11081
2,0.5,xshot_mult,3627.06176,112.92095,1.89972,1.09743
4,0.0,pts,3626.91828,113.07148,1.95941,1.21382
4,0.0,xpts_ft,3626.82474,113.0383,1.95304,1.2043
4,0.0,xshot_add,3627.96873,113.56736,1.90026,0.96182
4,0.0,xshot_mult,3627.88618,113.33919,1.87771,0.93401
4,0.5,pts,3625.9499,112.76202,1.9615,1.52607
4,0.5,xpts_ft,3625.85156,112.72643,1.95511,1.51753
4,0.5,xshot_add,3626.64486,113.09696,1.90151,1.26956
4,0.5,xshot_mult,3626.53308,112.84574,1.87893,1.24624
