kind,side,bucket,slope,se,beta_noise_var,expected_slope,prior_kind
prior,O,"[0,1500)",0.678133283284307,0.31696969748627896,,,linear
prior,O,"[1500,4500)",0.8420621234744176,0.07463089535624265,,,linear
prior,O,"[4500,inf)",0.9684395616862541,0.05444250208674495,,,linear
prior,D,"[0,1500)",0.8409209968671221,0.2649592897521188,,,linear
prior,D,"[1500,4500)",0.7929769770202455,0.19566409141093039,,,linear
prior,D,"[4500,inf)",1.0160514313660944,0.12063240121331277,,,linear
prior,O,all,0.9360821004393097,0.048886789201802124,0.468358179276777,0.9809634081745681,linear
prior,D,all,0.9617586419192758,0.09594480166671795,0.7131292617359618,0.9147080087066232,linear
prior,O+D,all,0.9442331236624895,,1.1728946350408145,0.9617289164646053,linear
eblup,O,"[0,1500)",0.654901379480486,0.2932699682974208,,,linear
eblup,O,"[1500,4500)",0.8637865628337249,0.070734819724975,,,linear
eblup,O,"[4500,inf)",0.9670662967178929,0.04772234209535167,,,linear
eblup,D,"[0,1500)",1.161326024172716,0.24058248110996397,,,linear
eblup,D,"[1500,4500)",0.9041541575319672,0.10240520452832173,,,linear
eblup,D,"[4500,inf)",0.9631356083000971,0.0680616691670253,,,linear
eblup,O,all,0.939017003492259,0.04540140812964632,,,linear
eblup,D,all,0.9562397030298153,0.048831479108690366,,,linear
eblup,O+D,all,0.9467569419282745,,,,linear
joint_prior,O,"[0,1500)",0.6545709493186145,0.28998006795791764,,,linear
joint_prior,O,"[1500,4500)",0.8161896741741025,0.09041160660905717,,,linear
joint_prior,O,"[4500,inf)",0.9256445516523082,0.04551570343577566,,,linear
joint_prior,D,"[0,1500)",0.9483769270830157,0.25470815196492175,,,linear
joint_prior,D,"[1500,4500)",0.8061238099870816,0.16341682743665506,,,linear
joint_prior,D,"[4500,inf)",0.943252336900243,0.11919910552605852,,,linear
joint_u,O,"[0,1500)",0.14267293184858984,1.3783798674583976,,,linear
joint_u,O,"[1500,4500)",1.907837428054008,0.4074943393102063,,,linear
joint_u,O,"[4500,inf)",1.404995903494716,0.12191361490124339,,,linear
joint_u,D,"[0,1500)",2.327871040507729,0.2468369428023353,,,linear
joint_u,D,"[1500,4500)",1.1414422161431708,0.13663634136036143,,,linear
joint_u,D,"[4500,inf)",0.9599505797393719,0.0693933841121547,,,linear
joint_prior,O,all,0.8987869482076425,0.04577531963137361,,,linear
joint_prior,D,all,0.9082961937860325,0.092666184700585,,,linear
joint_u,O,all,1.4735242277955274,0.10874242192626751,,,linear
joint_u,D,all,1.016872260992812,0.0738721893545861,,,linear
joint_prior,O+D,all,0.9065014557410035,,,,linear
joint_u,O+D,all,1.0733332207857278,,,,linear
prior,O,"[0,1500)",0.7014366692795009,0.3235667706011876,,,boosted
prior,O,"[1500,4500)",0.8704485115806316,0.07355830370812842,,,boosted
prior,O,"[4500,inf)",0.9665150921222821,0.054808775281253,,,boosted
prior,D,"[0,1500)",0.9423178187152025,0.27772121489984763,,,boosted
prior,D,"[1500,4500)",0.8095469074876009,0.19045987084202362,,,boosted
prior,D,"[4500,inf)",1.0316678531058736,0.12274314952605977,,,boosted
prior,O,all,0.9407659767796154,0.04876192560487775,0.468358179276777,0.9809207323039485,boosted
prior,D,all,0.982911551830993,0.09803847507849257,0.7131292617359618,0.9165119377647091,boosted
prior,O+D,all,0.9543585563218304,,1.1728946350408145,0.9619087741432267,boosted
eblup,O,"[0,1500)",0.6750055558876389,43.228149399011954,,,boosted
eblup,O,"[1500,4500)",0.8853129620351948,12.796784849582366,,,boosted
eblup,O,"[4500,inf)",0.9645179071447113,3.8586824093409295,,,boosted
eblup,D,"[0,1500)",1.2065519819691366,260.0699514811187,,,boosted
eblup,D,"[1500,4500)",0.9070342295313385,55.75246717971384,,,boosted
eblup,D,"[4500,inf)",0.9613735339449043,65.73217631913806,,,boosted
eblup,O,all,0.941582339139288,0.04486699549022223,,,boosted
eblup,D,all,0.956428750700552,0.048850866712691586,,,boosted
eblup,O+D,all,0.9482861187109949,,,,boosted
joint_prior,O,"[0,1500)",0.6727947426106362,0.2941062534239724,,,boosted
joint_prior,O,"[1500,4500)",0.8275871331185753,0.08698001737363881,,,boosted
joint_prior,O,"[4500,inf)",0.9270188681433936,0.046114179065889244,,,boosted
joint_prior,D,"[0,1500)",0.9983803284494543,0.26469171402247277,,,boosted
joint_prior,D,"[1500,4500)",0.8172018385715848,0.16086409403962373,,,boosted
joint_prior,D,"[4500,inf)",0.9583099910779164,0.12468293640951525,,,boosted
joint_u,O,"[0,1500)",0.09272919913578251,1.363481565375581,,,boosted
joint_u,O,"[1500,4500)",1.954791349464915,0.3293098637977773,,,boosted
joint_u,O,"[4500,inf)",1.3803288538462437,0.1281922058924408,,,boosted
joint_u,D,"[0,1500)",2.2503599518214648,0.23621867336714392,,,boosted
joint_u,D,"[1500,4500)",1.1333500671447603,0.14085543103118145,,,boosted
joint_u,D,"[4500,inf)",0.938535656698446,0.07562343753503743,,,boosted
joint_prior,O,all,0.9038597943359249,0.044156707123517054,,,boosted
joint_prior,D,all,0.9262025328093704,0.09808938846231229,,,boosted
joint_u,O,all,1.4542972009771709,0.10176724320833161,,,boosted
joint_u,D,all,0.9967011950813874,0.07875458902677841,,,boosted
joint_prior,O+D,all,0.9156173772798971,,,,boosted
joint_u,O+D,all,1.0536989621749973,,,,boosted
